group,code5,name,rtss_count,stockscan_count,rtss_types,stockscan_types,rtss_first_ts,rtss_max_count_today,rtss_max_chg_pct,possible_reason
stockscan_only,00261,GBA集團,0,1,,VOLUME,,,,
stockscan_only,00360,新焦點,0,2,,SURGE;VOLUME,,,,
stockscan_only,00538,味千(中國),0,1,,VOLUME,,,,
both,00646,中国环保科技,2,1,SURGE,SURGE,2026-09-07 11:40:28,2.0,60.8,
stockscan_only,00829,神冠控股,0,1,,SURGE,,,,
stockscan_only,00979,綠色能源科技集團,0,2,,SURGE;VOLUME,,,,
stockscan_only,01160,金石資本集團,0,1,,VOLUME,,,,
both,01536,煜荣集团,1,1,SURGE,SURGE,2026-09-07 11:02:38,1.0,22.22,
stockscan_only,01753,兌吧,0,1,,SURGE,,,,
stockscan_only,01842,植華集團,0,1,,VOLUME,,,,
stockscan_only,02370,力高健康生活,0,1,,VOLUME,,,,
stockscan_only,02545,中贛通信,0,1,,VOLUME,,,,
both,06988,乐享集团,1,2,SURGE,SURGE;VOLUME,2026-09-07 15:47:06,1.0,51.16,
stockscan_only,08385,萬里印刷,0,1,,VOLUME,,,,
both,08471,新达控股,2,2,SURGE,SURGE;VOLUME,2026-09-07 11:34:07,2.0,48.15,
both,08646,中国宏光,1,1,SURGE,SURGE,2026-09-07 13:48:05,1.0,20.61,
stockscan_only,09978,方圓生活服務,0,1,,SURGE,,,,
