code5,name,last_go_type,last_go_date,days_since_go,in_kl_xlsx
02381,蜆殼電業,GO,2026-07-31,45,1
02295,豐城控股,GO,2026-07-02,74,1
01796,中國數智科技,GO,2026-04-27,140,1
00368,德合集團,GO,2026-08-04,41,0
02535,泓基集團,GO,2026-08-04,41,0
09978,方圓生活服務,GO,2026-07-28,48,0
01037,雲智匯科技,GO,2026-07-27,49,0
08483,名仕快相,GO,2026-07-27,49,0
01633,上諭集團,GO,2026-07-24,52,0
06083,環宇物流(亞洲),GO,2026-07-17,59,0
00989,中國長白山國際,GO,2026-07-15,61,0
00167,IDT INT'L,GO,2026-06-29,77,0
08162,港銀控股,TRANSFER_MB,2026-06-26,80,0
01417,浦江中國,GO,2026-06-15,91,0
01657,樺欣控股,GO,2026-06-04,102,0
01780,榮尊國際控股,GO,2026-05-07,130,0
01451,萬成集團股份,GO,2026-05-05,132,0
08439,新百利融資,GO,2026-05-04,133,0
01953,賽孚迅國際,GO,2026-04-24,143,0
01932,中漆集團,GO,2026-04-21,146,0
00701,北海集團,GO,2026-04-21,146,0
00784,愛生命國際,GO,2026-04-14,153,0
