group,code5,name,rtss_count,stockscan_count,rtss_types,stockscan_types,rtss_first_ts,rtss_max_count_today,rtss_max_chg_pct,possible_reason
rtss_only,00115,钧濠集团,1,0,SURGE,,2026-09-21 15:25:59,1.0,20.0,unknown
stockscan_only,00377,中國華君,0,3,,VOLUME,,,,
stockscan_only,00379,恆嘉融資租賃,0,30,,SURGE;VOLUME,,,,
both,00736,中国置业投资,1,1,SURGE,SURGE,2026-09-21 11:02:30,1.0,57.3,
stockscan_only,01355,生物系統工程,0,5,,SURGE;VOLUME,,,,
stockscan_only,01580,大森控股,0,7,,SURGE;VOLUME,,,,
stockscan_only,01715,智慧健康科技,0,1,,VOLUME,,,,
rtss_only,02442,怡俊集团控股,1,0,PLUNGE,,2026-09-21 10:54:25,,-31.03,plunge_not_tracked;mcap_over_cap
rtss_only,02917,智算能建股权,1,0,PLUNGE,,2026-09-21 09:38:20,,-74.55,plunge_not_tracked;below_threshold
stockscan_only,03442,南方港美科技,0,1,,VOLUME,,,,
stockscan_only,03453,PP台灣50,0,1,,VOLUME,,,,
stockscan_only,06628,創勝集團醫藥-B,0,2,,SURGE;VOLUME,,,,
stockscan_only,07711,南方東英 Coinbase 每日槓桿最多(2x) 產品,0,1,,SURGE,,,,
stockscan_only,07799,南方東英 MicroStrategy 每日槓桿最多 (2x) 產品,0,1,,SURGE,,,,
stockscan_only,08305,聖唐控股,0,2,,VOLUME,,,,
both,08385,万里印刷,1,4,SURGE,SURGE;VOLUME,2026-09-21 09:42:58,1.0,46.67,
