code5,name,last_go_type,last_go_date,days_since_go,in_kl_xlsx
01959,中聚投資,GO,2025-12-16,15,1
09929,澳達控股,GO,2025-12-03,28,1
08403,德豐宿來,GO,2025-11-26,35,1
08208,永通萬國集團,GO,2025-11-13,48,1
08622,愉悅集團,GO,2025-10-09,83,1
01489,GC CONSTRUCTION,GO,2025-09-30,92,1
08507,愛世紀集團,GO,2025-09-23,99,1
01376,RAFFLESINTERIOR,GO,2025-08-07,146,1
08146,怡園酒業,GO,2025-12-30,1,0
00228,中能控股,GO,2025-12-23,8,0
01348,滉達富控股,GO,2025-12-18,13,0
08413,亞洲富思,GO,2025-12-10,21,0
02442,怡俊集團控股,GO,2025-12-02,29,0
01732,象興科技,GO,2025-12-01,30,0
03389,亨得利,GO,2025-11-28,33,0
01980,天鴿互動,GO,2025-11-19,42,0
00167,IDT INT'L,GO,2025-11-17,44,0
06182,乙德投資控股,GO,2025-11-04,57,0
02623,香港黃金產業集團,GO,2025-11-04,57,0
00643,恆富控股,GO,2025-10-24,68,0
01757,環球華商俱樂部,GO,2025-10-23,69,0
00834,盛融控股,GO,2025-10-23,69,0
02680,南強控股,GO,2025-10-10,82,0
00361,漢成發展控股,GO,2025-09-23,99,0
01351,輝煌明天,GO,2025-09-17,105,0
00932,順騰國際控股,GO,2025-09-12,110,0
08050,城市酷選,GO,2025-08-18,135,0
08106,芯化蘭德,GO,2025-07-25,159,0
06136,康達環保,GO,2025-07-21,163,0
