code5,scan_date,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,ccass_top10_pct_known,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing
02266,2025-07-02,,,,,,,0,,,,,2025-06-27,81180000.0,400000000.0,20.295,20.295,366000.0,59.0,0.5,0,0
08143,2025-07-02,,,,,,,0,,,,,2025-06-27,165280535.0,1352759971.0,,12.218,-332104108.0,59.0,,1,0
00893,2025-07-02,,,,,,,0,,,,,2025-06-27,1057970909.0,2249015410.0,47.0415,47.0415,3684000.0,59.0,0.5,0,0
00953,2025-07-02,,,,,,,0,,,,,2025-06-27,989604221.0,1419610000.0,69.7096,69.7096,-682500.0,59.0,0.5,0,0
00757,2025-07-02,,,,,,,0,,,,,2025-06-27,2043840055.0,3323771133.0,61.4916,61.4916,-2234445.0,59.0,0.5,0,0
00114,2025-07-02,,,,,,,0,,,,,2025-06-27,350371340.0,604490763.0,57.9614,57.9614,15725.0,59.0,0.5,0,0
01643,2025-07-02,,,,,,,0,,,,,2025-06-27,240855161.0,720000000.0,33.4521,33.4521,-1828740.0,59.0,0.5,0,0
01795,2025-07-02,,,,,,,0,,,,,2025-06-27,564627058.0,600000000.0,94.1045,94.1045,-672000.0,59.0,0.5,0,0
00320,2025-07-02,,,,,,,0,,,,,2025-06-27,355274479.0,842540000.0,42.1671,42.1671,-1112000.0,59.0,0.5,0,0
02530,2025-07-02,,,,,,,0,,,,,2025-06-27,215035500.0,1000000000.0,21.5036,21.5036,-3088000.0,59.0,0.5,0,0
03300,2025-07-02,,,,,,,0,,,,,2025-06-27,1108374253.0,1836218258.0,60.3618,60.3618,-385034.0,59.0,0.5,0,0
01346,2025-07-02,,,,,,,0,,,,,2025-06-27,392970001.0,639100000.0,61.488,61.488,104053000.0,59.0,1.0,0,0
06136,2025-07-02,,,,,,,0,,,,,2025-06-27,1891683051.0,2307008500.0,81.9972,81.9972,4326000.0,59.0,0.5,0,0
00399,2025-07-02,,,,,,,0,,,,,2025-06-27,1041107414.0,3277107928.0,31.7691,31.7691,-30271070.0,59.0,0.5,0,0
08092,2025-07-03,,,,,,,0,,,,,2025-06-30,274666514.0,925508000.0,29.6774,29.6774,-2252000.0,60.0,0.5,0,0
00657,2025-07-03,,,,,,,0,,,,,2025-06-30,274277597.0,1946314108.0,14.0922,14.0922,-3821700.0,60.0,0.5,0,0
00518,2025-07-03,,,,,,,0,,,,,2025-06-30,157376729.0,451067557.0,34.8898,34.8898,-22028100.0,60.0,0.0,0,0
00712,2025-07-03,,,,,,,0,,,,,2025-06-30,615439543.0,1059923412.0,58.0645,58.0645,94372435.0,60.0,1.0,0,0
01165,2025-07-03,,,,,,,0,,,,,2025-06-30,3204631111.0,5082375490.0,63.0538,63.0538,-27376273.0,60.0,0.5,0,0
01671,2025-07-03,,,,,,,0,,,,,2025-06-30,146956907.0,159920907.0,91.8935,91.8935,666000.0,60.0,0.5,0,0
08143,2025-07-03,,,,,,,0,,,,,2025-06-30,374779191.0,1352759971.0,,27.7048,-122605452.0,60.0,,1,0
01001,2025-07-03,,,,,,,0,,,,,2025-06-30,293624996.0,636508315.0,46.1306,46.1306,812300.0,60.0,0.5,0,0
02455,2025-07-03,,,,,,,0,,,,,2025-06-30,74716481.0,300000000.0,24.9055,24.9055,1284000.0,60.0,0.5,0,0
01631,2025-07-03,,,,,,,0,,,,,2025-06-30,47793700.0,307200000.0,15.5578,15.5578,-826300.0,60.0,0.5,0,0
08087,2025-07-03,,,,,,,0,,,,,2025-06-30,53236173.0,648000000.0,,8.2155,-6475231.0,60.0,,1,0
01795,2025-07-03,,,,,,,0,,,,,2025-06-30,564636058.0,600000000.0,94.106,94.106,-663000.0,60.0,0.5,0,0
00970,2025-07-03,,,,,,,0,,,,,2025-06-30,131936240.0,675362170.0,19.5356,19.5356,649219.0,60.0,0.5,0,0
08269,2025-07-03,,,,,,,0,,,,,2025-06-30,578950012.0,890722800.0,64.9978,64.9978,15588501.0,60.0,1.0,0,0
00320,2025-07-03,,,,,,,0,,,,,2025-06-30,355280479.0,842540000.0,42.1678,42.1678,-1106000.0,60.0,0.5,0,0
02205,2025-07-03,,,,,,,0,,,,,2025-06-30,195222000.0,700000000.0,27.8889,27.8889,87000.0,60.0,0.5,0,0
08328,2025-07-03,,,,,,,0,,,,,2025-06-30,345548623.0,785533629.0,43.989,43.989,-1350069.0,60.0,0.5,0,0
01282,2025-07-03,,,,,,,0,,,,,2025-06-30,1373939625.0,5000000000.0,27.4788,27.4788,-7824432.0,60.0,0.5,0,0
00184,2025-07-03,,,,,,,0,,,,,2025-06-30,142197913.0,340200000.0,41.7983,41.7983,560013.0,60.0,0.5,0,0
08092,2025-07-04,,,,,,,0,,,,,2025-07-02,274666514.0,925508000.0,29.6774,29.6774,-2252000.0,61.0,0.5,0,0
01740,2025-07-04,,,,,,,0,,,,,2025-07-02,764647000.0,1037500000.0,73.7009,73.7009,4295000.0,61.0,0.5,0,0
01949,2025-07-04,,,,,,,0,,,,,2025-07-02,654278025.0,230400000.0,,283.9748,189870000.0,61.0,,1,0
01991,2025-07-04,,,,,,,0,,,,,2025-07-02,113565975.0,172006700.0,66.0242,66.0242,-1018849566.0,60.0,0.0,0,0
03368,2025-07-04,,,,,,,0,,,,,2025-07-02,1341890399.0,2634532250.0,50.9347,50.9347,-1402000.0,61.0,0.5,0,0
01945,2025-07-04,,,,,,,0,,,,,2025-07-02,104240041.0,294030400.0,35.4521,35.4521,633600.0,61.0,0.5,0,0
00583,2025-07-04,,,,,,,0,,,,,2025-07-02,626074887.0,1567745596.0,39.9347,39.9347,28000.0,61.0,0.5,0,0
02377,2025-07-04,,,,,,,0,,,,,2025-07-02,705239983.0,854862679.0,82.4975,82.4975,928495.0,61.0,0.5,0,0
02257,2025-07-04,,,,,,,0,,,,,2025-07-02,60214218.0,112157138.0,53.6874,53.6874,-1086197.0,61.0,0.5,0,0
01082,2025-07-04,,,,,,,0,,,,,2025-07-02,545333200.0,608046880.0,89.686,89.686,-2400000.0,61.0,0.5,0,0
08018,2025-07-07,,,,,,,0,,,,,2025-07-03,397153794.0,504232936.0,78.764,78.764,-23206728.0,62.0,0.0,0,0
01722,2025-07-07,,,,,,,0,,,,,2025-07-03,318120000.0,1100000000.0,28.92,28.92,7160000.0,62.0,0.5,0,0
01421,2025-07-07,,,,,,,0,,,,,2025-07-03,101807750.0,200195200.0,50.8542,50.8542,269325.0,62.0,0.5,0,0
00515,2025-07-07,,,,,,,0,,,,,2025-07-03,131141711.0,285567614.0,45.9232,45.9232,-275446798.0,62.0,0.0,0,0
01025,2025-07-07,,,,,,,0,,,,,2025-07-03,161011856.0,447367440.0,35.991,35.991,128647440.0,62.0,1.0,0,0
08450,2025-07-07,,,,,,,0,,,,,2025-07-03,377775000.0,1000000000.0,37.7775,37.7775,2900000.0,62.0,0.5,0,0
01222,2025-07-07,,,,,,,0,,,,,2025-07-03,10203638316.0,13538696942.0,75.3665,75.3665,51005098.0,62.0,0.5,0,0
00673,2025-07-07,,,,,,,0,,,,,2025-07-03,341496989.0,1387138191.0,24.6188,24.6188,-4170350.0,62.0,0.5,0,0
01290,2025-07-07,,,,,,,0,,,,,2025-07-03,1027045200.0,1090335000.0,94.1954,94.1954,6060000.0,62.0,0.5,0,0
08340,2025-07-08,,,,,,,0,,,,,2025-07-04,49313320.0,79990000.0,61.6494,61.6494,9229216.0,63.0,1.0,0,0
00899,2025-07-08,,,,,,,0,,,,,2025-07-04,113019675.0,445159008.0,25.3886,25.3886,-803029138.0,63.0,0.0,0,0
08450,2025-07-08,,,,,,,0,,,,,2025-07-04,377775000.0,1000000000.0,37.7775,37.7775,2900000.0,63.0,0.5,0,0
06663,2025-07-08,,,,,,,0,,,,,2025-07-04,165970000.0,800000000.0,20.7462,20.7462,-870000.0,63.0,0.5,0,0
00620,2025-07-08,,,,,,,0,,,,,2025-07-04,492347660.0,801025230.0,61.4647,61.4647,-965506.0,63.0,0.5,0,0
01022,2025-07-08,,,,,,,0,,,,,2025-07-04,1447264189.0,1749442062.0,82.7272,82.7272,8473450.0,63.0,0.5,0,0
01046,2025-07-08,,,,,,,0,,,,,2025-07-04,852041285.0,906632276.0,93.9787,93.9787,-1439718.0,63.0,0.5,0,0
00610,2025-07-08,,,,,,,0,,,,,2025-07-04,522377879.0,793124034.0,65.8633,65.8633,124000.0,63.0,0.5,0,0
01233,2025-07-08,,,,,,,0,,,,,2025-07-04,1854094313.0,2996092775.0,61.8837,61.8837,-3646317.0,63.0,0.5,0,0
00736,2025-07-09,,,,,,,0,,,,,2025-07-07,180035504.0,320599606.0,56.1559,56.1559,-866202.0,64.0,0.5,0,0
00243,2025-07-09,,,,,,,0,,,,,2025-07-07,148220445.0,346490532.0,42.7776,42.7776,-237161.0,64.0,0.5,0,0
01253,2025-07-09,,,,,,,0,,,,,2025-07-07,3989024470.0,604116479.0,,660.3072,3354279.0,64.0,,0,0
00510,2025-07-09,,,,,,,0,,,,,2025-07-07,260063586.0,431174779.0,60.3151,60.3151,670560.0,64.0,0.5,0,0
00994,2025-07-09,,,,,,,0,,,,,2025-07-07,710611510.0,1291006000.0,55.0432,55.0432,-1676000.0,64.0,0.5,0,0
00620,2025-07-09,,,,,,,0,,,,,2025-07-07,492347660.0,801025230.0,61.4647,61.4647,-965506.0,64.0,0.5,0,0
08645,2025-07-09,,,,,,,0,,,,,2025-07-07,715558000.0,756504000.0,94.5875,94.5875,0.0,64.0,0.5,0,0
01909,2025-07-09,,,,,,,0,,,,,2025-07-07,131010014.0,242821041.0,53.9533,53.9533,-447730.0,64.0,0.5,0,0
01183,2025-07-09,,,,,,,0,,,,,2025-07-07,1511313312.0,3980719188.0,37.9658,37.9658,8599000.0,64.0,0.5,0,0
00419,2025-07-09,,,,,,,0,,,,,2025-07-07,9066330733.0,1757154399.0,,515.9667,-117741937.0,64.0,,1,0
06898,2025-07-09,,,,,,,0,,,,,2025-07-07,431169504.0,941401000.0,45.8008,45.8008,3442000.0,64.0,0.5,0,0
00488,2025-07-09,,,,,,,0,,,,,2025-07-07,796614762.0,1453328830.0,54.8131,54.8131,-1173323.0,64.0,0.5,0,0
01160,2025-07-10,,,,,,,0,,,,,2025-07-08,214810458.0,237271250.0,90.5337,90.5337,0.0,65.0,0.5,0,0
