group,code5,name,rtss_count,stockscan_count,rtss_types,stockscan_types,rtss_first_ts,rtss_max_count_today,rtss_max_chg_pct,possible_reason
rtss_only,00726,3億以下急升異動 [當日第1次] 筑友智造科技,1,0,SURGE,,2026-05-14 16:02:52,1.0,39.39,daemon_or_definition_difference
rtss_only,01069,3億以下急升異動 [當日第1次] 中国健康科技集团,1,0,SURGE,,2026-05-14 11:31:05,1.0,21.82,daemon_or_definition_difference
rtss_only,01087,3億以下急升異動 [當日第1次] 威讯控股,1,0,SURGE,,2026-05-14 09:37:54,1.0,26.58,daemon_or_definition_difference
rtss_only,01417,3億以下急升異動 [當日第1次] 浦江中国,6,0,SURGE,,2026-05-14 11:58:25,6.0,206.98,daemon_or_definition_difference
rtss_only,01581,3億以下急升異動 [當日第1次] 进升集团控股,2,0,SURGE,,2026-05-14 11:17:23,2.0,61.76,daemon_or_definition_difference
rtss_only,01737,3億以下急升異動 [當日第1次] 亚洲实业集团,1,0,SURGE,,2026-05-14 15:31:44,1.0,46.67,daemon_or_definition_difference
rtss_only,01740,3億以下急升異動 [當日第1次] 新石文化,1,0,SURGE,,2026-05-14 11:17:30,1.0,41.6,daemon_or_definition_difference
rtss_only,01741,3億以下急升異動 [當日第1次] 成志控股,1,0,SURGE,,2026-05-14 10:12:18,1.0,20.0,daemon_or_definition_difference
rtss_only,02231,3億以下急升異動 [當日第1次] 景业名邦集团,1,0,SURGE,,2026-05-14 09:38:44,1.0,46.27,daemon_or_definition_difference
rtss_only,02946,3億以下急升異動 [當日第1次] 谊和股份,2,0,SURGE,,2026-05-14 10:31:28,2.0,60.98,daemon_or_definition_difference
rtss_only,08480,3億以下急升異動 [當日第1次] 飞霓控股,1,0,SURGE,,2026-05-14 13:42:41,1.0,20.0,daemon_or_definition_difference
rtss_only,08527,3億以下急升異動 [當日第1次] 聚利宝控股,2,0,SURGE,,2026-05-14 09:39:07,2.0,128.07,daemon_or_definition_difference
