group,code5,scan_date,go_60,consolidation_60,placing_60,rights_60,go_120,consolidation_120,placing_120,rights_120,go_180,consolidation_180,placing_180,rights_180
signal,00227,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,00510,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01073,2025-06-26,0,0,0,1,0,0,0,1,0,0,0,1
signal,01150,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01235,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01278,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01305,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01647,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01822,2025-06-26,0,0,0,0,0,0,1,0,0,0,1,0
signal,01856,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01895,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,01987,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,02212,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,02263,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,02699,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,03329,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,06118,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,06866,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,06882,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,08226,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,08267,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,08293,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
signal,08350,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
baseline,02350,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
baseline,02605,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
baseline,01555,2025-06-26,0,0,0,0,0,0,0,0,0,0,0,0
