group,code5,name,rtss_count,stockscan_count,rtss_types,stockscan_types,rtss_first_ts,rtss_max_count_today,rtss_max_chg_pct,possible_reason
rtss_only,00648,3億以下急升異動 [當日第1次] 京玖康疗,1,0,SURGE,,2026-08-11 10:31:28,1.0,20.34,daemon_or_definition_difference
rtss_only,01536,3億以下急升異動 [當日第1次] 煜荣集团,1,0,SURGE,,2026-08-11 09:42:20,1.0,29.96,daemon_or_definition_difference
rtss_only,06162,3億以下急升異動 [當日第1次] 天瑞汽车内饰,2,0,SURGE,,2026-08-11 11:23:33,2.0,38.82,daemon_or_definition_difference
rtss_only,08547,3億以下急升異動 [當日第1次] PACIFIC LEGEND,2,0,SURGE,,2026-08-11 10:57:51,2.0,35.29,daemon_or_definition_difference
