code5,name,scan_date,appearance_seq,days_since_first,entry_close,entry_intraday,entry_intraday_note,price_missing,days_available,ret_t5,ret_t10,ret_t20,ret_t60,max_ret_20,min_ret_20,ret_t5_est,ret_t10_est,ret_t20_est,ret_t60_est,max_ret_20_est,min_ret_20_est,has_capital_action,fu_go,fu_rights,fu_placing,fu_consolidation,fu_cb,first_action_type,first_action_days,mcap,ratio,turnover_to_mcap,has_broker_shot,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing,dump_top10_x_appearance,dump_top10_x_mcap,board,recurrence,prior_go_365d,prior_rights_365d,prior_rights_180d,prior_placing_365d,prior_placing_180d,prior_consolidation_365d,prior_consolidation_180d,prior_change_of_control,feature_cutoff,led_to_go_180d,led_to_perform,led_to_rights_180d
01711,歐化,2025-10-08,1,0,0.184,0.184,eod_proxy,0,225,-7.0652,-3.2609,-27.7174,-35.8696,7.6087,-27.7174,0,0,0,0,0,0,0,0,0,0,0,0,,,147200000.0,5011.66,1.46,0,,,,,,,,,,,2025-10-03,101270000.0,800000000.0,12.6588,12.6588,420000.0,127.0,0.5,0,0,<20%×1,<20%×1-3億,,0,0,0,0,0,0,0,0,0,2025-10-08,0,False,0
01711,歐化,2025-10-09,2,1,0.197,0.197,eod_proxy,0,224,0.5076,-21.3198,-32.4873,-40.1015,0.5076,-32.4873,0,0,0,0,0,0,0,0,0,0,0,0,,,157600000.0,21.08,2.88,0,,,,,,,,,,,2025-10-06,101270000.0,800000000.0,12.6588,12.6588,420000.0,128.0,0.5,0,0,<20%×2,<20%×1-3億,,1,0,0,0,0,0,0,0,0,2025-10-09,0,False,0
01715,智慧健康科技,2025-08-01,1,0,0.35,0.35,eod_proxy,0,271,-11.4286,-5.7143,-5.7143,62.8571,7.1429,-11.4286,0,0,0,0,0,0,0,0,0,0,0,0,,,126265958.0,11.32,5.65,0,,,,,,,,,,,2025-07-30,292646270.0,360759879.0,81.1194,81.1194,214661770.0,81.0,1.0,0,0,>=60%×1,>=60%×1-3億,,0,0,0,0,0,0,0,0,0,2025-08-01,0,True,0
01715,智慧健康科技,2025-08-26,2,25,0.375,0.375,eod_proxy,0,254,-6.6667,-16.0,-17.3333,38.6667,-2.6667,-22.6667,0,0,0,0,0,0,0,0,0,0,0,0,,,135284955.0,56.99,5.21,0,,,,,,,,,,,2025-08-22,288509270.0,360759879.0,79.9727,79.9727,210524770.0,98.0,1.0,0,0,>=60%×2,>=60%×1-3億,,1,0,0,0,0,0,0,0,0,2025-08-26,0,True,0
01715,智慧健康科技,2025-10-08,3,68,0.31,0.31,eod_proxy,0,225,4.8387,45.1613,74.1935,58.0645,106.4516,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,111835562.0,19.02,1.12,0,,,,,,,,,,,2025-10-03,277092270.0,360759879.0,76.808,76.808,199107770.0,127.0,1.0,0,0,>=60%×3-4,>=60%×1-3億,,1,0,0,0,0,0,0,0,0,2025-10-08,0,True,0
01715,智慧健康科技,2025-10-21,4,81,0.46,0.46,eod_proxy,0,216,23.913,10.8696,17.3913,7.6087,39.1304,-2.1739,0,0,0,0,0,0,0,0,0,0,0,0,,,165949544.0,10.63,1.37,0,,,,,,,,,,,2025-10-17,275002270.0,360759879.0,76.2286,76.2286,197017770.0,136.0,1.0,0,0,>=60%×3-4,>=60%×1-3億,,1,0,0,0,0,0,0,0,0,2025-10-21,0,True,0
01715,智慧健康科技,2026-02-13,5,196,0.45,0.45,eod_proxy,0,137,2.2222,-2.2222,-8.8889,11.1111,2.2222,-8.8889,0,0,0,0,0,0,0,0,0,0,0,0,,,162341946.0,131.8,4.65,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-02-13,0,True,0
01715,智慧健康科技,2026-03-30,6,241,0.57,0.57,eod_proxy,0,109,0.0,-10.5263,-7.0175,-19.2982,1.7544,-10.5263,0,0,0,0,0,0,0,0,0,0,0,0,,,205633131.0,12.39,1.21,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-03-30,0,False,0
01715,智慧健康科技,2026-05-06,7,278,0.52,0.52,eod_proxy,0,86,-1.9231,-5.7692,-12.5,-11.5385,1.9231,-15.3846,0,0,0,0,0,0,0,0,0,0,0,0,,,187595137.0,15.0,2.11,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-05-06,0,False,0
01715,智慧健康科技,2026-08-07,8,371,0.53,0.53,eod_proxy,0,22,-11.3208,-7.5472,-20.7547,,0.0,-21.6981,0,0,0,0,0,0,0,0,0,0,0,0,,,191202736.0,95.37,0.92,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-08-07,0,,0
