group,code5,name,rtss_count,stockscan_count,rtss_types,stockscan_types,rtss_first_ts,rtss_max_count_today,rtss_max_chg_pct,possible_reason
rtss_only,01631,3億以下急升異動 [當日第1次] REF HOLDINGS,5,0,SURGE,,2026-05-13 09:31:15,5.0,133.33,mcap_over_3e8
rtss_only,01722,3億以下急升異動 [當日第1次] 建鹏控股,2,0,SURGE,,2026-05-13 11:31:59,2.0,39.74,daemon_or_definition_difference
rtss_only,01741,3億以下急升異動 [當日第1次] 成志控股,3,0,SURGE,,2026-05-13 15:50:39,3.0,51.74,daemon_or_definition_difference
rtss_only,02231,3億以下急升異動 [當日第1次] 景业名邦集团,2,0,SURGE,,2026-05-13 15:44:24,2.0,94.12,daemon_or_definition_difference
rtss_only,03321,3億以下急升異動 [當日第1次] 中科集团控股-新,1,0,SURGE,,2026-05-13 14:37:09,1.0,20.48,daemon_or_definition_difference
rtss_only,06080,3億以下急升異動 [當日第1次] 荣智控股,2,0,SURGE,,2026-05-13 11:18:27,2.0,40.24,daemon_or_definition_difference
rtss_only,06968,3億以下急升異動 [當日第1次] 港龙中国地产,5,0,SURGE,,2026-05-13 10:18:38,5.0,92.31,daemon_or_definition_difference
rtss_only,08120,3億以下急升異動 [當日第1次] 国农金融投资,1,0,SURGE,,2026-05-13 15:17:21,1.0,33.33,daemon_or_definition_difference
rtss_only,08221,3億以下急升異動 [當日第1次] 高裕金融,1,0,SURGE,,2026-05-13 14:51:01,1.0,34.46,daemon_or_definition_difference
rtss_only,08450,3億以下急升異動 [當日第1次] 钜京控股,4,0,SURGE,,2026-05-13 11:46:10,4.0,64.86,mcap_over_3e8
