code5,name,last_go_type,last_go_date,days_since_go,in_kl_xlsx
01796,中國數智科技,GO,2026-04-27,64,1
08448,環球印館,GO,2026-02-09,141,1
00167,IDT INT'L,GO,2026-06-29,1,0
08162,港銀控股,TRANSFER_MB,2026-06-26,4,0
01417,浦江中國,GO,2026-06-15,15,0
01657,樺欣控股,GO,2026-06-04,26,0
01780,榮尊國際控股,GO,2026-05-07,54,0
01451,萬成集團股份,GO,2026-05-05,56,0
08439,新百利融資,GO,2026-05-04,57,0
01953,賽孚迅國際,GO,2026-04-24,67,0
01932,中漆集團,GO,2026-04-21,70,0
00701,北海集團,GO,2026-04-21,70,0
00784,愛生命國際,GO,2026-04-14,77,0
01940,CGII HLDGS,GO,2026-03-13,109,0
01716,毛記葵湧,GO,2026-03-12,110,0
02427,GUANZE MEDICAL,GO,2026-02-11,139,0
01546,德萊建業,GO,2026-01-28,153,0
01429,天任集團,GO,2026-01-23,158,0
01980,天鴿互動,GO,2026-01-21,160,0
03938,LFG投資控股,GO,2026-01-09,172,0
