"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
01354.hk,經發物業,4.1億,7.1億,4.8千萬,4.2千萬,10.66,3.00,-71.90%,-,1.9億,77.4%,75,2024/07/03,7.5,地產
00755.hk,大方廣瑞德,3.9億,6.9億,4.7千萬,3.9千萬,3.87,0.27,-93.15%,-,-7.9億,72.7%,213,1992/10/27,N/A,地產
02288.hk,宏基資本,4.4億,7.4億,4.7千萬,4.6千萬,1.97,0.12,-93.65%,-,-4.6億,77.54%,157,2009/08/21,4.18,地產
08329.hk,海王英特龍,7.5億,8.5億,4.7千萬,4.7千萬,0.51,0.11,-78.39%,-,7.8百萬,54.37%,118,2005/09/12,0.33,N/A
08238.hk,玖方數智,-1.5億,-5.2千萬,4.7千萬,4.7千萬,N/A,0.14,N/A,-,-1.0億,76.03%,158,2015/02/16,0.37,N/A
08232.hk,一木集團,2.5百萬,1.0億,4.7千萬,4.7千萬,1.84,0.85,-53.77%,-,-1.7千萬,86.64%,100,2016/07/11,0.55,N/A
08152.hk,明樑控股,1.1億,2.1億,4.7千萬,1.4千萬,0.35,0.08,-78.51%,-,3.5百萬,89.06%,78,2017/07/21,0.47,N/A
08536.hk,TL NATURAL GAS,5.3千萬,1.5億,4.7千萬,4.7千萬,0.72,0.23,-67.99%,-,-4.4千萬,64.22%,104,2018/05/18,0.48,N/A
02195.hk,盈滙企業控股,9.0千萬,3.9億,4.7千萬,3.2千萬,2.31,0.28,-87.87%,-,-1.1億,82.16%,123,2021/03/31,0.56,建築及建築材料
00471.hk,中播數據,5.9億,8.9億,4.6千萬,4.3千萬,1.85,0.10,-94.60%,-,-5.9億,60.28%,233,2005/10/10,1.02,N/A
01124.hk,沿海家園,3.9億,6.9億,4.6千萬,4.5千萬,1.67,0.11,-93.43%,-,-17.8億,68.1%,190,1997/10/16,2.38,地產
08205.hk,交大慧谷,7.8百萬,1.1億,4.6千萬,4.6千萬,0.22,0.35,55.81%,-,-2.1千萬,81.72%,65,2002/07/31,0.66,N/A
08340.hk,紫荊國際金融,8.5千萬,1.8億,4.6千萬,3.7千萬,2.31,0.58,-74.87%,-,-1.4千萬,68.14%,112,2008/05/20,0.25,N/A
08526.hk,榮豐集團亞洲,4.5千萬,1.4億,4.6千萬,2.3千萬,0.89,0.28,-68.06%,-,-5.7千萬,76.15%,78,2018/02/27,0.38,N/A
02695.hk,印象大紅袍,3.6億,6.6億,4.6千萬,4.6千萬,4.56,1.24,-72.90%,-,1.4億,51.27%,86,2025/12/22,3.6,飲食酒店及旅遊
00193.hk,冠中地產,8.3億,11.3億,4.5千萬,2.8千萬,4.84,0.19,-96.01%,-,-3.8千萬,83.47%,212,1972/09/11,N/A,金融證券
01064.hk,中華國際,3.2億,6.2億,4.5千萬,1.6千萬,0.80,0.06,-92.76%,-,-5.4億,85.97%,148,1997/10/13,2.08,地產
08082.hk,擎華控股,-3.2千萬,6.8千萬,4.5千萬,4.2千萬,0.03,0.02,-29.17%,-,-1.1億,63.37%,144,2001/11/02,0.25,N/A
08262.hk,宏強控股,7.5千萬,1.7億,4.5千萬,2.2千萬,0.19,0.05,-72.00%,-,-4.4千萬,87.62%,69,2016/03/30,0.33,N/A
08036.hk,電子交易集團,5.8千萬,1.6億,4.5千萬,1.7千萬,0.13,0.04,-68.82%,-,-4.5百萬,93.14%,89,2019/02/19,0.28,N/A
