"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
00623.hk,金橋集團控股,21.4億,24.4億,9.9億,9.6億,5.35,2.23,-58.23%,-,3.1億,85.52%,139,2008/07/08,2.63,影視及傳媒
09857.hk,檸萌影視,27.5億,30.5億,9.9億,9.0億,8.42,2.90,-65.54%,-,6.8千萬,97.63%,83,2022/08/10,27.75,影視及傳媒
00057.hk,震雄集團,32.4億,35.4億,9.8億,3.4億,5.62,1.55,-72.40%,-,2.6億,80.37%,123,1991/10/22,N/A,工業
00621.hk,壇金礦業,25.9億,28.9億,9.8億,9.5億,1.59,0.52,-67.36%,-,-4.1千萬,49.09%,221,1995/12/18,1.0,金屬及採礦
01986.hk,彩客新能源,23.4億,26.4億,9.8億,9.5億,2.72,0.96,-64.75%,-,3.6百萬,77.07%,135,2015/07/03,4.01,石油化工
09960.hk,康聖環球,31.7億,34.7億,9.8億,9.1億,3.36,0.98,-70.86%,-,-7.8千萬,64.79%,194,2021/07/16,9.78,保健及生物科技
02881.hk,武漢有機,8.0億,11.0億,9.8億,8.6億,11.84,10.47,-11.59%,-,2.8億,94.44%,55,2024/06/18,5.5,石油化工
00103.hk,首佳科技,19.5億,22.5億,9.7億,4.9億,4.33,1.79,-58.71%,-,1.5億,82.45%,165,1992/04/09,N/A,N/A
00212.hk,NANYANG HOLD,47.0億,50.0億,9.7億,8.0億,147.14,28.50,-80.63%,-,-1.5億,83.2%,77,1954/09/15,N/A,地產
02327.hk,美瑞健康國際,12.4億,15.4億,9.7億,9.4億,0.38,0.24,-36.67%,-,1.1億,75.39%,144,2003/10/14,0.48,綜合企業
03836.hk,和諧汽車,56.0億,59.0億,9.7億,8.6億,3.87,0.64,-83.61%,-,-12.9億,77.53%,156,2013/06/13,6.08,零售及貿易
01483.hk,網譽科技,1.7億,4.7億,9.7億,8.8億,0.58,1.19,105.69%,-,-1.5億,85.92%,86,2013/12/10,1.0,影視及傳媒
02139.hk,甘肅銀行,3.8百億,3.9百億,9.7億,6.2億,2.57,0.25,-90.26%,-,0.0,86.01%,148,2018/01/18,2.69,銀行
01119.hk,創夢天地,19.5億,22.5億,9.7億,9.6億,1.10,0.44,-60.06%,-,-11.6億,62.4%,196,2018/12/06,6.6,N/A
02495.hk,聲通科技,22.0億,25.0億,9.7億,9.7億,62.98,30.16,-52.11%,-,-1.1億,76.43%,127,2024/07/10,152.1,科技
02603.hk,吉宏股份,33.0億,36.0億,9.7億,9.7億,7.85,12.47,58.77%,492.53%,8.8億,78.8%,88,2025/05/27,7.68,工業
00818.hk,高陽科技,71.1億,74.1億,9.6億,7.4億,2.67,0.34,-87.08%,-,5.0億,68.7%,181,1997/12/22,3.125,金融證券
01201.hk,天臣控股,4.7億,7.7億,9.6億,5.1億,1.75,2.12,21.19%,-,-2.6億,90.24%,142,1998/06/23,1.08,電子
02002.hk,陽光紙業,56.3億,59.3億,9.6億,3.5億,5.57,0.96,-82.77%,-,9.1億,92.49%,142,2007/12/12,6.0,工業
09989.hk,海普瑞,1.4百億,1.4百億,9.6億,9.6億,9.75,4.23,-56.61%,566.67%,2.2億,69.42%,203,2020/07/08,18.4,保健及生物科技
02251.hk,鷹瞳科技－Ｂ,14.1億,17.1億,9.6億,9.6億,16.92,9.00,-46.80%,-,-4.5億,79.98%,104,2021/11/05,75.1,保健及生物科技
06086.hk,方舟健客,1.9億,4.9億,9.6億,5.4億,0.35,0.77,119.74%,-,-11.1億,87.29%,115,2024/07/09,8.18,保健及生物科技
09639.hk,榮利營造,3.7億,6.7億,9.6億,9.6億,0.67,0.99,47.76%,-,1.3億,89.42%,77,2024/10/09,0.73,建築及建築材料
00374.hk,四洲集團,12.1億,15.1億,9.5億,5.0億,3.97,2.50,-36.95%,-,4.5千萬,82.39%,66,1993/08/25,N/A,食品及飲料製造
00451.hk,時代數字,5.7億,8.7億,9.5億,9.3億,0.49,0.55,11.11%,-,-32.2億,49.18%,337,1992/03/25,N/A,公用事業
01696.hk,復銳醫療科技,37.1億,40.1億,9.5億,9.5億,8.56,2.18,-74.54%,-,5.9億,81.29%,166,2017/09/19,8.88,保健及生物科技
01931.hk,華檢醫療,34.3億,37.3億,9.5億,8.1億,2.33,0.60,-74.20%,-,5.8億,86.66%,143,2019/07/12,3.07,保健及生物科技
00255.hk,龍記集團,15.1億,18.1億,9.4億,3.5億,2.85,1.49,-47.72%,-,-1.1億,77.13%,113,1993/03/05,N/A,工業
01161.hk,奧思集團,4.1億,7.1億,9.4億,4.8億,1.04,1.37,31.25%,-,2.6億,79.89%,102,2002/03/11,1.08,零售及貿易
01328.hk,金涌投資,10.4億,13.4億,9.4億,6.9億,5.23,3.65,-30.25%,-,1.0億,88.64%,129,2007/10/16,1.36,金融證券
08321.hk,泰錦控股,1.4億,2.4億,9.4億,3.8億,0.44,1.75,295.55%,-,-4.9千萬,88.44%,95,2016/10/28,0.35,N/A
01627.hk,安保工程控股,19.2億,22.2億,9.4億,2.3億,1.11,0.48,-56.38%,-,4.3億,89.92%,125,2017/02/20,1.1,建築及建築材料
09906.hk,宏力醫療管理,6.5億,9.5億,9.4億,6.9億,1.58,1.56,-1.07%,-,1.3億,99.33%,53,2020/07/13,2.1,保健及生物科技
00873.hk,世茂服務,90.2億,93.2億,9.4億,4.2億,3.78,0.37,-90.20%,-,1.3億,79.92%,178,2020/10/30,16.6,地產
02153.hk,達豐設備,13.7億,16.7億,9.4億,6.9億,1.43,0.81,-43.52%,-,-2.4億,95.47%,81,2021/01/13,1.73,建築及建築材料
00526.hk,利時集團控股,30.4億,33.4億,9.3億,8.3億,0.38,0.10,-72.44%,-,3.9億,70.04%,156,1995/10/11,1.28,工業
00536.hk,貿易通,3.7億,6.7億,9.3億,7.5億,0.85,1.17,37.41%,-,2.7億,65.84%,166,2005/10/28,1.25,科技
02130.hk,嘉泓物流,5.4億,8.4億,9.3億,3.1億,2.81,3.12,11.02%,-,9.6千萬,87.43%,102,2020/10/15,2.66,物流運輸
02126.hk,藥明巨諾－Ｂ,6.5億,9.5億,9.3億,9.1億,2.28,2.06,-9.68%,-,-20.9億,54.13%,227,2020/11/03,23.8,保健及生物科技
09663.hk,國鴻氫能,28.5億,31.5億,9.3億,8.5億,6.17,2.37,-61.66%,-,-14.2億,94.81%,99,2023/12/05,19.66,電子
00505.hk,興業合金,26.7億,29.7億,9.2億,9.1億,3.30,1.03,-68.81%,-,6.1億,83.59%,155,2007/12/27,1.7,金屬及採礦
00609.hk,天德化工,28.2億,31.2億,9.2億,4.7億,3.55,1.05,-70.41%,-,3.7億,83.04%,103,2006/10/27,1.02,石油化工
01127.hk,獅子山集團,16.5億,19.5億,9.2億,4.5億,2.53,1.21,-52.35%,-,5.9億,76.7%,106,2011/07/25,0.7,工業
03838.hk,中國澱粉,47.1億,50.1億,9.2億,3.3億,0.86,0.16,-81.35%,-,8.4億,80.86%,206,2007/09/27,2.22,食品及飲料製造
08540.hk,勝利證券,2.4億,3.4億,9.2億,4.0億,1.60,4.32,170.40%,-,3.2千萬,96.32%,80,2018/07/16,1.25,N/A
01785.hk,成都高速,58.0億,61.0億,9.2億,9.2億,3.68,2.02,-45.25%,-,18.5億,95.48%,75,2019/01/15,2.2,基建
02550.hk,宜搜科技,11.0億,14.0億,9.2億,8.8億,3.12,1.94,-37.85%,-,6.1千萬,64.01%,166,2024/06/07,5.8,影視及傳媒
01187.hk,可孚醫療,N/A,N/A,9.2億,9.2億,N/A,33.14,N/A,773.69%,10.2億,71.38%,106,2026/05/06,39.33,保健及生物科技
00093.hk,零在科技金融,11.9億,14.9億,9.1億,1.4億,0.56,0.34,-39.01%,-,6.0千萬,99.12%,65,1991/10/23,N/A,金融證券
00156.hk,力寶華潤,18.6億,21.6億,9.1億,9.0億,2.36,0.99,-57.78%,-,-8.9億,86.77%,203,N/A,N/A,飲食酒店及旅遊
00264.hk,中聯發展控股,-1.5千萬,2.8億,9.1億,8.5億,0.60,1.88,213.31%,-,-6.1千萬,73.71%,115,2003/03/12,0.6,紡織及服飾製造
00266.hk,天德地產,36.4億,39.4億,9.1億,4.3億,8.30,1.92,-76.87%,-,-1.3億,89.01%,85,N/A,N/A,地產
06138.hk,哈爾濱銀行,5.9百億,5.9百億,9.1億,9.1億,5.38,0.32,-94.06%,-,0.0,77.45%,181,2014/03/31,2.9,銀行
01204.hk,博維智慧,3.5億,6.5億,9.1億,7.8億,1.29,1.88,45.74%,-,1.4千萬,96.85%,64,2022/07/15,1.08,科技
08220.hk,比高集團,-8.7千萬,1.3千萬,9.0億,4.6億,0.07,4.90,6515.70%,-,-3.4千萬,84.4%,154,2002/11/12,0.25,N/A
01346.hk,利華控股集團,5.5億,8.5億,9.0億,6.1億,1.33,1.40,5.36%,-,3.8億,83.38%,80,2019/11/13,0.85,紡織及服飾製造
02483.hk,Ｋ ＣＡＳＨ集團,9.7億,12.7億,9.0億,4.0億,2.54,1.79,-29.39%,-,0.0,93.7%,59,2023/12/05,1.8,金融證券
00157.hk,自然美,4.2億,7.2億,8.9億,8.9億,0.36,0.46,25.75%,-,-1.1億,98.0%,68,2002/03/28,0.55,零售及貿易
00237.hk,安全貨倉,34.2億,37.2億,8.9億,2.6億,9.19,2.18,-76.29%,-,-3.9億,85.53%,94,1973/01/09,N/A,地產
00472.hk,新絲路控股集團,13.3億,16.3億,8.9億,8.3億,0.42,0.23,-45.51%,-,-5.4億,76.08%,150,1988/01/29,N/A,地產
00618.hk,北大資源,6.9億,9.9億,8.9億,5.4億,0.36,0.34,-6.91%,-,-34.4億,83.73%,139,1991/10/07,N/A,保健及生物科技
01003.hk,歡喜傳媒,8.4億,11.4億,8.9億,8.4億,0.26,0.20,-23.29%,-,-6.0億,70.16%,187,1994/02/21,1.02,影視及傳媒
01262.hk,蠟筆小新食品,2.9億,5.9億,8.9億,2.1億,2.46,3.50,42.28%,-,-2.0億,90.43%,125,2011/12/09,2.65,食品及飲料製造
02136.hk,利福中國,1.0百億,1.1百億,8.9億,6.8億,7.21,0.59,-91.75%,-,4.0千萬,85.62%,132,2016/07/15,N/A,零售及貿易
03991.hk,長虹佳華,37.4億,40.4億,8.9億,3.0億,2.78,0.61,-78.03%,-,11.4億,89.19%,86,2000/01/24,1.28,科技
06660.hk,艾美疫苗,32.1億,35.1億,8.9億,8.9億,2.86,1.71,-40.29%,-,-24.8億,83.21%,128,2022/10/06,16.16,N/A
00131.hk,卓能（集團）,59.8億,62.8億,8.8億,4.5億,9.62,1.33,-86.18%,-,-8.0億,85.03%,120,N/A,N/A,地產
02450.hk,淮北綠金股份,5.1億,8.1億,8.8億,4.1億,3.08,15.39,399.60%,-,-1.4千萬,90.58%,44,2023/01/20,1.91,建築及建築材料
00538.hk,味千（中國）,31.9億,34.9億,8.7億,8.5億,3.20,0.79,-75.32%,-,2.1億,82.64%,144,2007/03/30,5.47,飲食酒店及旅遊
00655.hk,香港華人有限公司,87.3億,90.3億,8.7億,8.4億,4.52,0.42,-90.59%,-,-19.3億,77.72%,236,1992/10/12,N/A,地產
08198.hk,加幂科技,1.8億,2.8億,8.7億,8.0億,0.39,1.14,195.06%,-,-1.3億,72.13%,157,2002/05/17,0.55,N/A
02581.hk,明基醫院,26.3億,29.3億,8.7億,2.2億,9.38,2.80,-70.16%,-,4.1億,96.07%,111,2025/12/22,9.34,保健及生物科技
02701.hk,國民技術,N/A,N/A,8.7億,8.7億,N/A,9.20,N/A,613.82%,-10.1億,67.66%,117,2026/03/23,10.8,科技
00128.hk,安寧控股,10.2億,13.2億,8.6億,7.6億,0.80,0.52,-34.82%,-,-3.4百萬,63.46%,189,1972/11/06,N/A,金融證券
00433.hk,北方礦業,3.3億,6.3億,8.6億,5.9億,0.04,0.06,35.72%,-,-14.7億,78.74%,233,N/A,N/A,金屬及採礦
00533.hk,金利來集團,44.9億,47.9億,8.6億,2.2億,4.92,0.88,-82.12%,-,1.7億,86.17%,136,1992/09/18,N/A,紡織及服飾製造
00554.hk,漢思集團控股,8.7億,11.7億,8.6億,8.6億,0.27,0.20,-26.05%,-,-3.8億,85.65%,138,1997/05/28,1.0,石油化工
01057.hk,浙江世寶,25.4億,28.4億,8.6億,8.6億,3.45,3.94,14.29%,279.47%,4.4億,71.88%,151,2006/05/16,1.5,工業
02030.hk,卡賓,15.9億,18.9億,8.6億,8.6億,2.82,1.28,-54.65%,-,8.6千萬,82.84%,66,2013/10/28,2.53,零售及貿易
03383.hk,雅居樂集團,-1.5百億,-1.4百億,8.6億,8.6億,N/A,0.17,N/A,-,-5.9百億,65.64%,233,2005/12/15,3.3,地產
01731.hk,其利工業集團,15.0億,18.0億,8.6億,2.1億,1.60,0.76,-52.61%,-,5.4億,90.04%,122,2018/07/13,0.89,紡織及服飾製造
02458.hk,望塵科技控股,5.0億,8.0億,8.6億,8.2億,5.60,6.60,17.92%,-,2.8億,82.82%,58,2023/01/16,6.5,科技
03650.hk,KEEP,15.3億,18.3億,8.6億,8.4億,3.67,1.70,-53.80%,-,5.7億,78.79%,115,2023/07/12,28.92,工業
01858.hk,春立醫療,34.9億,37.9億,8.5億,8.5億,9.88,8.22,-16.76%,303.16%,7.4億,74.45%,140,2015/03/11,13.88,保健及生物科技
08017.hk,捷利交易寶,3.9億,4.9億,8.5億,6.4億,0.70,1.18,67.41%,-,1.3億,75.86%,109,2018/09/28,0.64,N/A
01410.hk,安領國際,2.1億,5.1億,8.5億,6.8億,0.51,0.83,64.32%,-,5.4千萬,86.54%,103,2017/04/19,0.32,科技
02503.hk,中深建業,22.3億,25.3億,8.5億,2.8億,0.74,0.25,-66.08%,-,-3.6百萬,90.01%,114,2024/01/09,1.0,建築及建築材料
00664.hk,銅師傅,N/A,N/A,8.5億,6.9億,N/A,12.75,N/A,-,1.9億,96.74%,94,2026/03/31,60.0,工業
00611.hk,中國核能科技,22.2億,25.2億,8.4億,8.4億,1.36,0.46,-66.51%,-,4.4億,69.03%,166,1993/02/12,N/A,公用事業
01029.hk,鐵貨,17.8億,20.8億,8.4億,8.4億,1.09,0.45,-58.57%,-,-24.1億,87.09%,198,2010/10/21,1.8,金屬及採礦
01141.hk,民銀資本,16.3億,19.3億,8.4億,3.3億,1.76,0.72,-58.75%,-,-3.7億,82.26%,213,1998/03/12,1.0,金融證券
01985.hk,美高域,2.3億,5.3億,8.4億,7.4億,1.76,2.81,59.74%,-,4.4千萬,79.66%,96,2017/03/08,1.46,科技
02473.hk,喜相逢集團,13.2億,16.2億,8.4億,8.3億,0.87,0.45,-48.31%,-,2.1億,80.68%,152,2023/11/09,1.1,零售及貿易
00993.hk,信控國際資本,-96.8億,-93.8億,8.3億,4.6億,N/A,0.09,N/A,-,-27.6億,85.8%,222,1994/02/16,1.05,金融證券
01349.hk,復旦張江,25.1億,28.1億,8.3億,8.2億,2.71,2.53,-6.55%,217.97%,-1.3千萬,77.91%,126,2002/08/13,0.8,保健及生物科技
02100.hk,百奧家庭互動,17.3億,20.3億,8.3億,5.2億,0.71,0.30,-57.70%,-,-1.5億,74.21%,168,2014/04/10,2.15,科技
01820.hk,濟豐包裝,5.1億,8.1億,8.3億,2.9億,2.71,2.75,1.46%,-,-4.5千萬,98.55%,24,2018/12/21,3.98,工業
09939.hk,開拓藥業－Ｂ,1.3億,4.3億,8.3億,8.3億,0.86,1.68,96.13%,-,-15.5億,60.85%,195,2020/05/22,20.15,保健及生物科技
00383.hk,天安卓健,17.6億,20.6億,8.2億,4.3億,2.04,0.81,-60.33%,-,1.7千萬,97.45%,150,1991/08/01,N/A,保健及生物科技
01793.hk,偉工控股,2.8億,5.8億,8.2億,2.0億,0.72,1.13,56.94%,-,1.3千萬,90.98%,87,2019/02/27,0.625,建築及建築材料
02520.hk,山西安裝,33.8億,36.8億,8.2億,8.2億,2.68,2.19,-18.45%,-,4.9億,99.69%,36,2023/11/22,2.18,建築及建築材料
00239.hk,白花油,7.3億,10.3億,8.1億,3.4億,3.32,2.61,-21.33%,-,2.8億,89.64%,100,1991/12/18,N/A,保健及生物科技
01137.hk,香港科技探索,14.4億,17.4億,8.1億,4.1億,2.19,1.04,-52.60%,-,-1.7億,82.49%,193,1997/08/04,1.8,科技
01831.hk,十方控股,-4.1千萬,2.6億,8.1億,3.7億,0.24,0.76,213.88%,-,-2.6億,77.47%,149,2010/12/03,3.03,影視及傳媒
01916.hk,江西銀行,4.6百億,4.6百億,8.1億,8.1億,7.67,0.61,-92.05%,-,0.0,73.17%,126,2018/06/26,6.39,銀行
00184.hk,激成投資,35.7億,38.7億,8.0億,3.6億,11.38,2.35,-79.31%,-,7.3億,94.27%,81,1973/02/24,N/A,飲食酒店及旅遊
00353.hk,能源國際投資,28.7億,31.7億,8.0億,1.3億,1.50,0.39,-74.31%,-,3.1億,89.6%,207,2001/07/26,0.8,石油化工
00420.hk,福田實業,32.6億,35.6億,8.0億,5.2億,2.91,0.65,-77.64%,-,1.4億,73.56%,162,1988/04/20,N/A,紡織及服飾製造
00553.hk,南京熊貓電子股份,36.0億,39.0億,8.0億,8.0億,4.26,3.27,-23.18%,277.62%,-4.5億,64.94%,166,1996/05/02,2.13,科技
00894.hk,萬裕科技,16.3億,19.3億,8.0億,3.4億,4.03,1.65,-59.05%,-,1.8千萬,81.55%,167,1997/03/05,1.08,電子
01846.hk,德視佳,12.5億,15.5億,8.0億,7.9億,4.83,2.37,-50.96%,-,2.7億,88.21%,93,2019/10/15,7.5,保健及生物科技
00711.hk,亞洲聯合基建控股,23.4億,26.4億,7.9億,6.6億,1.43,0.42,-70.38%,-,-2.0億,90.48%,172,1993/02/12,N/A,建築及建築材料
00950.hk,李氏大藥廠,20.5億,23.5億,7.9億,7.7億,3.98,1.27,-67.99%,-,2.0億,67.55%,150,2002/07/15,0.4,保健及生物科技
01586.hk,力鴻檢驗,5.0億,8.0億,7.9億,7.6億,1.36,1.25,-7.84%,-,2.0億,91.81%,77,2016/07/12,0.98,N/A
00898.hk,萬事昌國際,76.3億,79.3億,7.8億,2.1億,9.49,1.04,-89.04%,-,-2.3億,96.93%,105,1998/07/31,1.0,地產
01085.hk,亨鑫科技,17.7億,20.7億,7.8億,5.4億,4.44,1.69,-61.97%,-,7.4千萬,76.88%,101,2010/12/23,2.25,科技
01090.hk,大明國際,29.3億,32.3億,7.8億,3.8億,2.53,0.61,-75.93%,-,-7.2億,87.34%,74,2010/12/01,2.1,金屬及採礦
01180.hk,匯彩控股,4.5億,7.5億,7.8億,3.2億,0.71,0.77,7.73%,-,5.7億,93.24%,188,1997/01/20,1.0,飲食酒店及旅遊
02011.hk,進騰集團,2.2億,5.2億,7.8億,7.5億,0.90,1.35,50.47%,-,-1.3千萬,91.4%,75,2011/01/12,1.33,紡織及服飾製造
02098.hk,卓爾智聯,1.6百億,1.7百億,7.8億,6.9億,1.35,0.07,-94.73%,-,3.6億,88.08%,132,2011/07/13,2.89,N/A
01528.hk,紅星美凱龍,2.8百億,2.8百億,7.8億,7.8億,6.45,1.05,-83.64%,487.32%,-3.3百億,76.82%,161,2015/06/26,13.28,地產
02481.hk,雙良睿能,15.1億,18.1億,7.8億,7.1億,5.99,2.58,-57.05%,-,5.3億,96.93%,57,2023/07/10,3.6,公用事業
09686.hk,熙康雲醫院,3.6億,6.6億,7.8億,4.4億,0.79,0.93,17.81%,-,-3.0億,87.02%,74,2023/09/28,4.76,保健及生物科技
06676.hk,找鋼網－Ｗ,6.4億,9.4億,7.8億,5.4億,0.88,0.70,-20.41%,-,-12.5億,85.65%,90,2025/03/10,10.0,金屬及採礦
00206.hk,華商能源,14.2億,17.2億,7.7億,3.7億,0.53,0.24,-55.28%,-,1.6億,85.22%,125,2005/11/28,0.73,石油化工
06828.hk,北京燃氣藍天,15.9億,18.9億,7.7億,2.6億,0.08,0.04,-57.85%,-,2.8億,81.81%,187,2011/07/12,1.48,公用事業
08148.hk,悟喜生活,7.9千萬,1.8億,7.7億,7.3億,0.39,1.76,352.25%,-,-3.9百萬,92.28%,130,2004/01/09,0.43,N/A
01466.hk,佰金生命科學,1.9億,4.9億,7.7億,6.2億,0.52,0.83,59.37%,-,-7.8百萬,73.98%,149,2014/10/17,N/A,零售及貿易
01748.hk,信源企業集團,12.0億,15.0億,7.7億,8.6千萬,3.41,1.76,-48.36%,-,1.6億,99.42%,44,2018/09/26,1.5,物流運輸
06820.hk,友誼時光,14.8億,17.8億,7.7億,4.0億,0.82,0.35,-56.57%,-,-1.0億,93.02%,126,2019/10/08,1.52,科技
03268.hk,美格智能,N/A,N/A,7.7億,7.7億,N/A,21.84,N/A,650.49%,3.7億,78.32%,123,2026/03/10,28.86,科技
00163.hk,英皇國際,1.5百億,1.5百億,7.6億,2.5億,2.74,0.14,-95.00%,-,-67.9億,93.27%,176,1972/11/14,N/A,地產
00493.hk,國美零售,-4.2百億,-4.1百億,7.6億,5.0億,N/A,0.01,N/A,-,-3.0百億,78.07%,315,1992/04/15,N/A,零售及貿易
02372.hk,偉立控股,2.4億,5.4億,7.6億,4.5億,0.68,1.04,53.99%,-,-1.7千萬,89.18%,82,2022/06/30,0.63,工業
02469.hk,粉筆,15.3億,18.3億,7.6億,6.6億,0.83,0.34,-58.84%,-,6.8億,60.86%,144,2023/01/09,9.9,N/A
00251.hk,爪哇控股,36.2億,39.2億,7.5億,6.3億,6.52,1.24,-80.97%,-,-11.8億,92.8%,85,1973/10/03,N/A,地產
01238.hk,寶龍地產,3.1百億,3.1百億,7.5億,7.5億,7.59,0.19,-97.50%,-,-1.6百億,78.79%,160,2009/10/14,2.75,地產
01583.hk,親親食品,13.8億,16.8億,7.5億,6.0億,2.23,0.99,-55.64%,-,1.8千萬,85.56%,116,2016/07/08,N/A,食品及飲料製造
08450.hk,鉅京控股,2.8千萬,1.3億,7.5億,3.4億,0.13,0.75,485.94%,-,-2.6千萬,94.51%,86,2018/02/02,0.22,N/A
00676.hk,創信國際,5.9億,8.9億,7.4億,1.6億,1.22,1.01,-16.89%,-,-3.8千萬,97.64%,40,1996/10/11,1.08,地產
01252.hk,中國天瑞水泥,1.8百億,1.9百億,7.4億,6.7億,6.08,0.24,-96.05%,-,1.1億,54.29%,181,2011/12/23,2.41,建築及建築材料
02777.hk,富力地產,-47.8億,-44.8億,7.4億,4.8億,N/A,0.19,N/A,-,-5.9百億,66.66%,243,2005/07/14,10.8,地產
00205.hk,BFB HEALTH,2.2億,5.2億,7.3億,5.2億,0.41,0.56,34.13%,-,-6.3千萬,79.04%,185,1993/01/05,N/A,影視及傳媒
00418.hk,方正控股,11.3億,14.3億,7.3億,7.3億,1.24,0.58,-52.86%,-,1.4億,68.09%,203,1995/12/21,1.98,科技
00528.hk,金達控股,17.6億,20.6億,7.3億,4.3億,3.27,1.16,-64.53%,-,2.0億,88.89%,118,2006/12/12,1.75,紡織及服飾製造
00640.hk,星謙發展,6.9億,9.9億,7.3億,2.4億,3.20,2.34,-26.87%,-,2.9億,92.33%,90,2010/08/12,0.6,石油化工
02068.hk,中鋁國際,36.1億,39.1億,7.3億,7.3億,1.31,1.82,38.93%,647.71%,-28.8億,80.66%,123,2012/07/06,3.93,建築及建築材料
08371.hk,嚐高美集團,3.4億,4.4億,7.3億,2.3億,1.14,1.89,66.18%,-,1.9億,90.91%,72,2018/01/17,0.92,N/A
01425.hk,捷隆控股,9.3億,12.3億,7.3億,7.1億,0.99,0.59,-39.78%,-,5.1億,93.82%,69,2019/11/28,0.4,紡織及服飾製造
02167.hk,天潤雲,6.4億,9.4億,7.3億,4.5億,5.41,4.26,-21.12%,-,9.4千萬,93.45%,79,2022/06/30,12.85,科技
02487.hk,科笛－Ｂ,10.6億,13.6億,7.3億,7.3億,3.64,1.93,-46.97%,-,-30.0億,81.33%,91,2023/06/12,21.85,保健及生物科技
02501.hk,邁越科技,3.7億,6.7億,7.3億,1.7億,1.34,1.48,10.14%,-,3.2千萬,92.1%,92,2023/10/11,1.18,科技
03636.hk,金潯資源,N/A,N/A,7.3億,7.3億,N/A,15.86,N/A,-,6.1億,70.16%,100,2026/01/09,30.0,金屬及採礦
00884.hk,旭輝控股集團,6.2百億,6.2百億,7.2億,N/A,3.38,0.04,-98.85%,-,22.5億,N/A,245,2012/11/23,1.33,地產
01499.hk,歐科雲鏈,1.2億,4.2億,7.2億,7.2億,0.08,0.12,56.69%,-,-5.6千萬,84.07%,157,2015/09/02,0.25,建築及建築材料
02567.hk,七牛智能,4.2億,7.2億,7.2億,5.1億,0.36,0.34,-3.98%,-,-9.1億,82.8%,146,2024/10/16,2.75,科技
02530.hk,紐曼思,5.8億,8.8億,7.2億,1.8億,0.88,0.72,-17.26%,-,2.6億,92.23%,80,2025/01/10,0.8,保健及生物科技
00610.hk,WAI KEE HOLD,25.1億,28.1億,7.1億,5.5億,3.55,0.90,-74.64%,-,-71.1億,82.0%,122,1992/08/28,N/A,建築及建築材料
01152.hk,正乾金融控股,2.9億,5.9億,7.1億,5.2億,0.17,0.20,17.91%,-,-1.2千萬,68.95%,113,2011/10/28,0.5,食品及飲料製造
00217.hk,中國誠通發展集團,29.4億,32.4億,7.0億,3.3億,0.54,0.12,-78.28%,-,1.5億,71.82%,183,N/A,N/A,金融證券
03348.hk,中國鵬飛集團,11.8億,14.8億,7.0億,1.8億,2.96,1.36,-54.10%,-,3.4億,97.1%,77,2019/11/15,1.58,工業
06959.hk,長久股份,6.0億,9.0億,7.0億,6.7億,4.44,3.46,-22.01%,-,4.4億,93.36%,101,2024/01/09,5.95,零售及貿易
00603.hk,中油燃氣,40.2億,43.2億,6.9億,6.5億,0.77,0.12,-83.97%,-,2.9千萬,57.39%,241,1993/05/28,N/A,公用事業
00976.hk,齊合環保,48.5億,51.5億,6.9億,6.9億,3.21,0.43,-86.60%,-,9.6億,75.84%,131,2010/07/12,2.43,金屬及採礦
01122.hk,慶鈴汽車股份,85.2億,88.2億,6.9億,4.2億,3.55,0.54,-84.94%,-,-1.5億,68.56%,185,1994/08/17,2.07,工業
06898.hk,中國鋁罐,1.2億,4.2億,6.9億,3.3億,0.44,0.73,64.91%,-,5.9千萬,87.68%,86,2013/07/12,1.0,工業
01272.hk,大唐環境,94.8億,97.8億,6.9億,6.9億,3.30,1.08,-67.23%,-,18.0億,80.26%,80,2016/11/15,3.78,工業
01710.hk,致豐工業電子,3.7億,6.7億,6.9億,1.7億,0.67,0.70,5.70%,-,2.0千萬,88.61%,125,2017/11/23,0.62,電子
06829.hk,龍昇集團控股,3.4億,6.4億,6.9億,2.9億,2.21,2.43,10.17%,-,1.3千萬,89.77%,81,2018/02/08,0.4,建築及建築材料
02137.hk,騰盛博藥－Ｂ,25.8億,28.8億,6.9億,6.9億,3.99,0.92,-77.06%,-,-9.8億,59.48%,184,2021/07/13,22.25,保健及生物科技
01274.hk,知行科技,9.3億,12.3億,6.9億,6.9億,4.86,2.49,-48.80%,-,-9.8億,82.92%,149,2023/12/20,29.65,科技
00224.hk,建生國際,74.0億,77.0億,6.8億,6.4億,6.67,0.59,-91.15%,-,-2.2億,90.59%,102,N/A,N/A,地產
00334.hk,華顯光電,14.9億,17.9億,6.8億,4.3億,0.85,0.32,-62.77%,-,2.4億,82.64%,170,1997/06/18,1.12,N/A
00560.hk,珠江船務,33.0億,36.0億,6.8億,6.7億,3.21,0.60,-81.32%,-,2.8億,80.26%,171,1997/05/23,1.2,物流運輸
00627.hk,共生智築,-23.7億,-20.7億,6.8億,1.7億,N/A,0.56,N/A,-,-16.3億,96.12%,223,2000/11/13,0.8,地產
01036.hk,萬科海外,41.1億,44.1億,6.8億,1.7億,11.31,1.75,-84.53%,-,-1.2億,92.16%,135,1996/11/08,N/A,地產
