code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
00704,704.HK,和嘉控股,0.13,54.76,811120,37748521,37748521,28690,28.27,2.15,10,0,0,2026-09-08 12:47:03
00899,899.HK,中加國信,0.18,9.09,1045510,80128621,80128621,50233,20.81,1.3,10,0,0,2026-09-08 12:47:03
08360,8360.HK,簡樸新生活,0.315,14.55,787920,114048810,114048810,50850,15.49,0.69,10,0,0,2026-09-08 12:47:03
01156,1156.HK,CHINANEWENERGY,0.227,25.41,1084900,160650324,160650324,96080,11.29,0.68,10,0,0,2026-09-08 12:47:03
01710,1710.HK,致豐工業電子,0.223,-5.51,1217460,223000000,223000000,67120,18.14,0.55,10,0,0,2026-09-08 12:47:03
01419,1419.HK,盈健醫療,0.8,-2.44,1453260,303641786,303641786,125094,11.62,0.48,10,0,0,2026-09-08 12:47:03
01831,1831.HK,十方控股,0.29,7.41,1766550,311880369,311880369,166422,10.61,0.57,10,0,0,2026-09-08 12:47:03
00381,381.HK,權識國際,0.242,14.15,3515690,321962735,321962735,347719,10.11,1.09,10,0,0,2026-09-08 12:47:02
06830,6830.HK,華眾車載,0.225,-8.91,1179500,398068605,398068605,50464,23.37,0.3,10,0,0,2026-09-08 12:47:03
02189,2189.HK,嘉濤(香港)控股,0.455,1.11,2414620,455000000,455000000,79232,30.48,0.53,10,0,0,2026-09-08 12:47:03
01960,1960.HK,TBKS HLDGS,0.46,76.92,2658100,460000000,460000000,57640,46.12,0.58,10,0,0,2026-09-08 12:47:03
00994,994.HK,中天宏信,0.36,33.33,1995900,464762160,464762160,139000,14.36,0.43,10,0,0,2026-09-08 12:47:03
02321,2321.HK,雙財莊,0.465,6.9,1477580,465069750,465069750,140379,10.53,0.32,10,0,0,2026-09-08 12:47:03
01473,1473.HK,環聯連訊,0.52,-1.89,7831200,614869470,614869470,771614,10.15,1.27,10,0,0,2026-09-08 12:47:03
02136,2136.HK,利福中國,0.5,100.0,39097560,732224250,732224250,286721,136.36,5.34,10,0,0,2026-09-08 12:47:03
00210,210.HK,達芙妮國際,0.385,0.0,6413200,761760395,761760395,313543,20.45,0.84,10,0,0,2026-09-08 12:47:02
00202,202.HK,潤中國際控股,0.123,0.82,819920,897207432,897207432,22832,35.91,0.09,10,0,0,2026-09-08 12:47:02
