code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
00428,428.HK,中國天弓控股,0.237,1.28,608210,36559202,36559202,7963,76.38,1.66,10,0,0,2026-09-08 12:46:44
08113,8113.HK,時騰科技,0.41,2.5,548480,80408139,80408139,35966,15.25,0.68,10,0,0,2026-09-08 12:46:45
01591,1591.HK,汛和集團,0.154,4.05,720370,82133333,82133333,37631,19.14,0.88,10,0,0,2026-09-08 12:46:45
00745,745.HK,中國國家文化產業,0.74,10.45,525350,173431177,173431177,23677,22.19,0.3,10,0,0,2026-09-08 12:46:45
01949,1949.HK,佰達國際控股,0.8,2.56,4307800,184320000,184320000,67137,64.16,2.34,10,0,0,2026-09-08 12:46:45
01792,1792.HK,CMON,0.943,-1.57,6857220,233562240,233562240,432118,15.87,2.94,10,0,0,2026-09-08 12:46:45
00556,556.HK,泛亞環保,0.42,64.71,6466050,422024754,422024754,146554,44.12,1.53,10,0,0,2026-09-08 12:46:44
02205,2205.HK,康橋悅生活,0.82,18.84,1691830,574000000,574000000,135067,12.53,0.29,10,0,0,2026-09-08 12:46:45
00334,334.HK,華顯光電,0.33,-1.49,2128400,697721617,697721617,162304,13.11,0.31,10,0,0,2026-09-08 12:46:44
