code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08430,8430.HK,春能控股,0.16,23.08,1298050,26693632,26693632,4466,290.65,4.86,10,0,0,2026-09-08 12:47:17
02608,2608.HK,陽光100中國,0.011,10.0,559590,28058926,28058926,26166,21.39,1.99,10,0,0,2026-09-08 12:47:16
08219,8219.HK,恆偉集團控股,0.15,25.0,1099770,37125000,37125000,69893,15.74,2.96,10,0,0,2026-09-08 12:47:17
01107,1107.HK,當代置業,0.016,23.08,2998840,44719914,44719914,23267,128.89,6.71,10,0,0,2026-09-08 12:47:16
08422,8422.HK,WT集團,0.129,19.44,1239440,46440000,46440000,27229,45.52,2.67,10,0,0,2026-09-08 12:47:17
08612,8612.HK,維亮控股,0.122,7.96,1679100,50595840,50595840,89588,18.74,3.32,10,0,0,2026-09-08 12:47:17
08221,8221.HK,高裕金融,1.27,19.81,4116000,60452000,60452000,40114,102.61,6.81,10,0,0,2026-09-08 12:47:17
08007,8007.HK,環球戰略集團,0.295,5.36,5267750,66763642,66763642,255900,20.59,7.89,10,0,0,2026-09-08 12:47:16
01421,1421.HK,恆昌集團國際,0.465,1.09,8544580,93090768,93090768,549402,15.55,9.18,10,0,0,2026-09-08 12:47:16
03830,3830.HK,童園國際,0.1,36.99,782820,100000000,100000000,9872,79.3,0.78,10,0,0,2026-09-08 12:47:16
09968,9968.HK,匯景控股,0.023,9.52,502020,120842000,120842000,43845,11.45,0.42,10,0,0,2026-09-08 12:47:17
08093,8093.HK,瓦普思瑞元宇宙,2.58,0.0,2371060,127654272,127654272,83044,28.55,1.86,10,0,0,2026-09-08 12:47:17
06158,6158.HK,正榮地產,0.033,13.79,572770,144135948,144135948,43148,13.27,0.4,10,0,0,2026-09-08 12:47:16
01850,1850.HK,美好生活集團控股,0.85,21.43,12954140,146880000,146880000,290108,44.65,8.82,10,0,0,2026-09-08 12:47:16
01703,1703.HK,誼和股份,1.1,83.33,30828750,151800000,151800000,46755,659.37,20.31,10,0,0,2026-09-08 12:47:16
01628,1628.HK,禹洲集團,0.114,10.68,999810,169630517,169630517,81310,12.3,0.59,10,0,0,2026-09-08 12:47:16
08368,8368.HK,中國創意控股,0.355,36.54,19012500,245737290,245737290,100138,189.86,7.74,10,0,0,2026-09-08 12:47:17
03301,3301.HK,融信中國,0.153,18.6,2433520,257565007,257565007,115571,21.06,0.94,10,0,0,2026-09-08 12:47:16
01265,1265.HK,天津津燃公用,0.176,-4.35,901760,323718173,88010560,56039,16.09,0.28,10,0,0,2026-09-08 12:47:16
01708,1708.HK,三寶科技,0.53,10.42,1285490,419791005,121635000,63748,20.17,0.31,10,0,0,2026-09-08 12:47:16
01073,1073.HK,大禹金融,0.124,16.98,877330,423830831,423830831,4877,179.89,0.21,10,0,0,2026-09-08 12:47:16
01176,1176.HK,珠光控股,0.048,17.07,1445430,424830372,424830372,121861,11.86,0.34,10,0,0,2026-09-08 12:47:16
00124,124.HK,粵海置地,0.25,2.04,2725470,427884212,427884212,224337,12.15,0.64,10,0,0,2026-09-08 12:47:16
03883,3883.HK,中國奧園,0.097,32.88,8678530,456884245,456884245,202268,42.91,1.9,10,0,0,2026-09-08 12:47:16
02683,2683.HK,華新手袋國際控股,1.22,5.17,1285900,498523720,498523720,118458,10.86,0.26,10,0,0,2026-09-08 12:47:16
01260,1260.HK,皓天財經集團,0.44,0.0,731970,506639760,506639760,31178,23.48,0.14,10,0,0,2026-09-08 12:47:16
02671,2671.HK,美聯股份,4.576,0.0,6801190,551636823,551636823,536589,12.67,1.23,10,0,0,2026-09-08 12:47:16
01909,1909.HK,火岩控股,2.5,24.38,4530980,607052602,607052602,208437,21.74,0.75,10,0,0,2026-09-08 12:47:16
09689,9689.HK,金泰豐國際控股,0.55,7.84,24273600,613800000,613800000,134400,180.61,3.95,10,0,0,2026-09-08 12:47:17
00519,519.HK,諾科達科技,0.216,1.89,2331020,659902840,659902840,112861,20.65,0.35,10,0,0,2026-09-08 12:47:16
00337,337.HK,綠地香港,0.244,16.19,4154000,681219863,681219863,267128,15.55,0.61,10,0,0,2026-09-08 12:47:16
00606,606.HK,中駿商管,0.36,28.57,2533520,696600000,696600000,57237,44.26,0.36,10,0,0,2026-09-08 12:47:16
01085,1085.HK,亨鑫科技,1.54,-1.28,3816920,717024000,717024000,111948,34.1,0.53,10,0,0,2026-09-08 12:47:16
00210,210.HK,達芙妮國際,0.385,0.0,2005130,761760395,761760395,190335,10.53,0.26,10,0,0,2026-09-08 12:47:16
02138,2138.HK,醫思健康,0.66,8.2,3408980,782239435,782239435,217432,15.68,0.44,10,0,0,2026-09-08 12:47:16
01813,1813.HK,合景泰富集團,0.265,40.96,5050220,906004245,906004245,324519,15.56,0.56,10,0,0,2026-09-08 12:47:16
