code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
03410,3410.HK,恆生日本東證一百,7.31,1.67,2224160,48756238,,218004,10.2,4.56,10,0,0,2026-09-08 07:26:49
00923,923.HK,綜合環保集團,0.017,6.25,531466,81991153,81991153,3971,133.84,0.65,10,0,0,2026-09-08 07:26:49
08237,8237.HK,華星控股,0.58,9.43,2184930,116593920,116593920,72576,30.11,1.87,10,0,0,2026-09-08 07:26:49
01996,1996.HK,弘陽地產,0.037,32.14,1918645,123539226,123539226,22475,85.37,1.55,10,0,0,2026-09-08 07:26:49
03708,3708.HK,中國供應鏈產業,0.189,-1.05,1556240,137455920,137455920,46155,33.72,1.13,10,0,0,2026-09-08 07:26:49
02320,2320.HK,合豐集團,0.217,8.5,5883974,177428748,177428748,441826,13.32,3.32,10,0,0,2026-09-08 07:26:49
01792,1792.HK,CMON,1.0,-1.96,5686171,247680000,247680000,407234,13.96,2.3,10,0,0,2026-09-08 07:26:49
01314,1314.HK,翠華控股,0.185,-1.6,593880,261076893,261076893,39080,15.2,0.23,10,0,0,2026-09-08 07:26:49
01939,1939.HK,上善黃金,0.53,0.0,3290350,271296400,271296400,327811,10.04,1.21,10,0,0,2026-09-08 07:26:49
01265,1265.HK,天津津燃公用,0.151,0.67,651250,277735478,75509060,4901,132.88,0.23,10,0,0,2026-09-08 07:26:49
01407,1407.HK,交運燃氣,0.665,14.66,1161340,292600000,292600000,115967,10.01,0.4,10,0,0,2026-09-08 07:26:49
09982,9982.HK,中原建業,0.103,9.57,2855582,477777554,477777554,171109,16.69,0.6,10,0,0,2026-09-08 07:26:50
02863,2863.HK,高豐集團控股,0.71,4.41,48197910,489552810,489552810,899912,53.56,9.85,10,0,0,2026-09-08 07:26:49
06182,6182.HK,乙德投資控股,0.65,28.71,132050520,520000000,520000000,5633008,23.44,25.39,10,0,0,2026-09-08 07:26:49
02779,2779.HK,中國新華教育,0.34,4.62,1369525,546918220,546918220,126538,10.82,0.25,10,0,0,2026-09-08 07:26:49
02392,2392.HK,玄武雲,1.045,-0.48,6365928,579827655,579827655,118707,53.63,1.1,10,0,0,2026-09-08 07:26:49
08037,8037.HK,中國生物科技服務,0.61,0.0,5957650,595196002,595196002,66944,88.99,1.0,10,0,0,2026-09-08 07:26:49
06898,6898.HK,中國鋁罐,0.685,3.01,1873240,644859685,644859685,111641,16.78,0.29,10,0,0,2026-09-08 07:26:49
03428,3428.HK,GX國壽港美,11.54,0.52,1035899,942818000,,71832,14.42,0.11,10,0,0,2026-09-08 07:26:49
