code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08131,8131.HK,諾亞智能,0.12,12.15,5333590,86305337,86305337,133563,39.93,6.18,10,0,0,2026-09-08 12:49:16
08082,8082.HK,擎華控股,0.034,-22.73,2955370,90875733,90875733,62599,47.21,3.25,10,0,0,2026-09-08 12:49:16
00356,356.HK,鼎立資本,0.525,-22.22,509040,105734300,105734300,36087,14.11,0.48,10,0,0,2026-09-08 12:49:16
01536,1536.HK,煜榮集團,0.31,6.9,629300,141360000,141360000,45830,13.73,0.45,10,0,0,2026-09-08 12:49:16
01737,1737.HK,亞洲實業集團,0.169,19.86,783350,169000000,169000000,54609,14.34,0.46,10,0,0,2026-09-08 12:49:16
00827,827.HK,玖源集團,0.034,3.03,1589470,238953448,238953448,122377,12.99,0.67,10,0,0,2026-09-08 12:49:16
01793,1793.HK,偉工控股,0.305,8.93,6565780,244000000,244000000,352816,18.61,2.69,10,0,0,2026-09-08 12:49:16
00464,464.HK,中國智能科技,0.84,23.53,11984160,635243280,635243280,1168584,10.26,1.89,10,0,0,2026-09-08 12:49:16
02496,2496.HK,友芝友生物-B,4.2,0.0,5086800,814166640,753812275,281240,18.09,0.62,10,0,0,2026-09-08 12:49:16
02562,2562.HK,獅騰控股,1.92,15.66,1013747700,895916294,895916294,37075560,27.34,113.15,10,0,0,2026-09-08 12:49:16
