code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08385,8385.HK,萬里印刷,0.122,-18.67,7166890,12735336,12735336,271462,26.4,56.28,10,0,0,2026-09-21 23:27:28,0
00986,986.HK,杜甫酒業集團,0.241,-0.82,2101780,31202403,31202403,12481,168.4,6.74,10,0,0,2026-09-21 23:27:27,0
03471,3471.HK,A華夏港元數,1017.6,0.04,1760285,42739200,,87856,20.04,4.12,10,0,0,2026-09-21 23:27:28,0
08377,8377.HK,維港育馬,0.16,2.56,737170,86278698,86278698,21691,33.99,0.85,10,0,0,2026-09-21 23:27:28,0
00736,736.HK,中國置業投資,0.27,51.69,2033055,86561894,86561894,19279,105.45,2.35,10,0,0,2026-09-21 23:27:27,0
01655,1655.HK,OKURA HOLDINGS,0.164,-0.61,1198320,118079931,118079931,107962,11.1,1.01,10,0,0,2026-09-21 23:27:27,0
00115,115.HK,鈞濠集團,6.0,20.0,1023570,124255848,124255848,30019,34.1,0.82,10,0,0,2026-09-21 23:27:26,0
01715,1715.HK,智慧健康科技,0.405,0.0,1926400,146107751,146107751,116115,16.59,1.32,10,0,0,2026-09-21 23:27:27,0
03453,3453.HK,PP台灣50,186.4,1.69,27509145,149120000,,1521480,18.08,18.45,10,0,0,2026-09-21 23:27:28,0
00953,953.HK,邵氏兄弟控股,0.143,-15.38,2568792,203004230,203004230,202539,12.68,1.27,10,0,0,2026-09-21 23:27:27,0
00343,343.HK,文化傳信,0.127,16.51,966780,220227625,220227625,78234,12.36,0.44,10,0,0,2026-09-21 23:27:26,0
01226,1226.HK,中國投融資,0.885,11.32,816950,365147991,365147991,204,4012.52,0.22,10,0,0,2026-09-21 23:27:27,0
01355,1355.HK,生物系統工程,0.206,39.19,2071170,368657134,368657134,126154,16.42,0.56,10,0,0,2026-09-21 23:27:27,0
01580,1580.HK,大森控股,0.385,28.33,3442200,421836625,421836625,282444,12.19,0.82,10,0,0,2026-09-21 23:27:27,0
02396,2396.HK,青城新藥-B,4.02,0.5,946954,472983238,333749023,92513,10.24,0.2,10,0,0,2026-09-21 23:27:27,0
00567,567.HK,金安智能,0.32,10.34,1016500,516252022,516252022,44280,22.96,0.2,10,0,0,2026-09-21 23:27:26,0
03406,3406.HK,平安科技精選,14.88,1.29,165574465,554280000,,931764,177.7,29.87,10,0,0,2026-09-21 23:27:28,0
03489,3489.HK,易方達AI,13.43,1.13,111312968,613751000,,2506490,44.41,18.14,10,0,0,2026-09-21 23:27:28,0
03477,3477.HK,平安東西精選,17.47,1.28,132518204,646390000,,2909678,45.54,20.5,10,0,0,2026-09-21 23:27:28,0
03442,3442.HK,南方港美科技,7.955,0.7,69360731,692085000,,1023991,67.74,10.02,10,0,0,2026-09-21 23:27:28,0
06898,6898.HK,中國鋁罐,0.79,-0.63,11723170,743706790,743706790,27844,421.03,1.58,10,0,0,2026-09-21 23:27:28,0
00655,655.HK,香港華人有限公司,0.42,1.2,665810,839277641,839277641,50003,13.32,0.08,10,0,0,2026-09-21 23:27:26,0
01003,1003.HK,歡喜傳媒,0.222,12.12,1288520,973272500,973272500,33624,38.32,0.13,10,0,0,2026-09-21 23:27:27,0
