code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
01803,1803.HK,北京體育文化-新,0.106,17.78,5590130,17909961,17909961,17011,328.62,31.21,10,0,0,2026-09-08 12:48:47
08315,8315.HK,新都酒店,0.092,15.0,627340,53492687,53492687,12,52278.33,1.17,10,0,0,2026-09-08 12:48:48
01738,1738.HK,飛尚無煙煤,0.09,0.0,1556950,124249122,124249122,59830,26.02,1.25,10,0,0,2026-09-08 12:48:47
08326,8326.HK,同景新能源,0.158,0.0,878700,193866000,193866000,19392,45.31,0.45,10,0,0,2026-09-08 12:48:48
01001,1001.HK,滬港聯合,0.375,7.14,964280,238690618,238690618,45132,21.37,0.4,10,0,0,2026-09-08 12:48:47
06890,6890.HK,康利國際控股,0.52,33.33,775620,315251040,315251040,11706,66.26,0.25,10,0,0,2026-09-08 12:48:48
00660,660.HK,瑋俊生物科技,0.96,43.28,17446400,368937394,368937394,437879,39.84,4.73,10,0,0,2026-09-08 12:48:47
00090,90.HK,普星能量,0.836,-13.46,704140,383389600,383389600,66626,10.57,0.18,10,0,0,2026-09-08 12:48:47
06083,6083.HK,環宇物流(亞洲),0.848,11.87,8543880,425562961,425562961,506948,16.85,2.01,10,0,0,2026-09-08 12:48:48
00610,610.HK,惠記集團,0.8,-6.98,1767460,634499227,634499227,77934,22.68,0.28,10,0,0,2026-09-08 12:48:47
09983,9983.HK,建業新生活,0.51,39.73,3243140,662560380,662560380,162387,19.97,0.49,10,0,0,2026-09-08 12:48:48
02440,2440.HK,迷策略,1.79,7.19,6429600,746482076,746482076,597313,10.76,0.86,10,0,0,2026-09-08 12:48:48
01723,1723.HK,恆月控股,1.82,59.65,6431580,870455040,870455040,313675,20.5,0.74,10,0,0,2026-09-08 12:48:47
