code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
00747,747.HK,沈陽公用發展股份,0.088,-17.76,1198690,129305088,53273088,58961,20.33,0.93,10,0,0,2026-09-08 12:48:04
00164,164.HK,中國寶力科技,0.415,2.47,10115580,144944030,144944030,144735,69.89,6.98,10,0,0,2026-09-08 12:48:03
00784,784.HK,愛生命國際,0.34,23.64,6795900,272000000,272000000,439350,15.47,2.5,10,0,0,2026-09-08 12:48:04
03662,3662.HK,星悅康旅,0.385,0.0,1676730,279606250,279606250,153497,10.92,0.6,10,0,0,2026-09-08 12:48:05
02545,2545.HK,中贛通信,0.455,-1.09,591900,291200000,291200000,25790,22.95,0.2,10,0,0,2026-09-08 12:48:04
02529,2529.HK,泓盈城市服務,2.756,0.0,848400,440960000,110240000,71732,11.83,0.19,10,0,0,2026-09-08 12:48:04
00367,367.HK,莊士機構國際,0.31,1.64,659720,518491462,518491462,24909,26.49,0.13,10,0,0,2026-09-08 12:48:03
01727,1727.HK,河北建設,0.34,-10.53,525390,598870390,156870390,26961,19.49,0.09,10,0,0,2026-09-08 12:48:04
01553,1553.HK,邁科管業,1.45,-3.33,573380,629010000,629010000,16340,35.09,0.09,10,0,0,2026-09-08 12:48:04
00536,536.HK,貿易通,1.005,-0.99,9136880,800039013,800039013,654908,13.95,1.14,10,0,0,2026-09-08 12:48:03
00156,156.HK,力寶華潤,1.0,2.04,1310650,918691271,918691271,95815,13.68,0.14,10,0,0,2026-09-08 12:48:03
