code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08178,8178.HK,中國信息科技,0.253,18.78,1795460,43543111,43543111,73798,24.33,4.12,10,0,0,2026-09-08 12:48:19
02433,2433.HK,中天湖南集團,0.088,23.94,1739100,50688000,50688000,120840,14.39,3.43,10,0,0,2026-09-08 12:48:19
00193,193.HK,冠中地產,0.25,15.74,1341170,58300640,58300640,31909,42.03,2.3,10,0,0,2026-09-08 12:48:18
00110,110.HK,中國長遠,0.395,2.6,4088700,110029576,110029576,223748,18.27,3.72,10,0,0,2026-09-08 12:48:18
06928,6928.HK,萬馬控股,0.228,26.67,1089480,174420000,174420000,17751,61.38,0.62,10,0,0,2026-09-08 12:48:19
03708,3708.HK,中國供應鏈產業,0.27,8.0,3715780,196365600,196365600,200580,18.53,1.89,10,0,0,2026-09-08 12:48:19
00510,510.HK,時富金融服務集團,0.51,-17.74,949310,219899137,219899137,42907,22.12,0.43,10,0,0,2026-09-08 12:48:18
06988,6988.HK,樂享集團,0.159,98.75,24339100,377136425,377136425,77920,312.36,6.45,10,0,0,2026-09-08 12:48:19
