code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
01393,1393.HK,恆鼎實業,0.028,27.27,5553779,128947263,128947263,197320,28.15,4.31,10,0,0,2026-09-08 07:26:50
08483,8483.HK,名仕快相,0.166,-8.29,1032352,132800000,132800000,57727,17.88,0.78,10,0,0,2026-09-08 07:26:51
01663,1663.HK,漢港控股,0.065,30.0,909850,160160000,160160000,64870,14.03,0.57,10,0,0,2026-09-08 07:26:50
03997,3997.HK,電訊首科,1.28,-9.22,1534370,164277760,164277760,129610,11.84,0.93,10,0,0,2026-09-08 07:26:50
00328,328.HK,ALCO HOLDINGS,0.615,3.36,12628011,176131172,176131172,1171719,10.78,7.17,10,0,0,2026-09-08 07:26:50
02322,2322.HK,新質數字,0.06,17.65,3749944,265236000,265236000,282663,13.27,1.41,10,0,0,2026-09-08 07:26:50
01094,1094.HK,承輝國際,0.375,-11.76,27613965,266630705,266630705,931140,29.66,10.36,10,0,0,2026-09-08 07:26:50
03789,3789.HK,禦佳控股,0.228,3.64,894564,273600000,273600000,31594,28.31,0.33,10,0,0,2026-09-08 07:26:50
08375,8375.HK,數盟資本,0.9,-0.55,555000,311040000,311040000,36580,15.17,0.18,10,0,0,2026-09-08 07:26:51
01587,1587.HK,欣融國際,0.5,0.0,3408280,340000000,340000000,117786,28.94,1.0,10,0,0,2026-09-08 07:26:50
00756,756.HK,森美控股,1.08,22.73,595240,367802926,367802926,38050,15.64,0.16,10,0,0,2026-09-08 07:26:50
02170,2170.HK,貝康醫療-B,1.375,0.0,921342,376098250,113731523,68120,13.53,0.24,10,0,0,2026-09-08 07:26:50
00529,529.HK,新龍國際,1.7,-6.85,680000,472543332,472543332,18250,37.26,0.14,10,0,0,2026-09-08 07:26:50
00201,201.HK,華大酒店,0.062,-6.06,1430718,554717182,554717182,52363,27.32,0.26,10,0,0,2026-09-08 07:26:50
02167,2167.HK,天潤雲,5.12,-0.58,6321754,887707648,887707648,581998,10.86,0.71,10,0,0,2026-09-08 07:26:50
