code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08226,8226.HK,樹熊金融集團,0.189,26.85,6818010,78908254,78908254,352080,19.36,8.64,10,0,0,2026-09-08 12:44:48
01695,1695.HK,椰豐集團,0.09,-3.23,648400,97200000,97200000,57420,11.29,0.67,10,0,0,2026-09-08 12:44:47
01132,1132.HK,橙天嘉禾,0.049,16.67,3160490,137183783,137183783,12280,257.37,2.3,10,0,0,2026-09-08 12:44:47
01473,1473.HK,環聯連訊,0.145,4.32,811470,171453987,171453987,33887,23.95,0.47,10,0,0,2026-09-08 12:44:47
08509,8509.HK,威揚酒業控股,0.53,6.0,1112700,212000000,212000000,63440,17.54,0.52,10,0,0,2026-09-08 12:44:48
00630,630.HK,雋泰控股,0.27,65.64,1099740,261238984,261238984,66478,16.54,0.42,10,0,0,2026-09-08 12:44:47
01643,1643.HK,現代中藥集團,0.38,5.56,611790,273600000,273600000,50397,12.14,0.22,10,0,0,2026-09-08 12:44:47
00328,328.HK,ALCO HOLDINGS,1.122,2.19,2863470,321331992,321331992,171678,16.68,0.89,10,0,0,2026-09-08 12:44:47
00927,927.HK,富士高實業,0.63,14.55,768600,321933150,321933150,11778,65.26,0.24,10,0,0,2026-09-08 12:44:47
01489,1489.HK,GC CONSTRUCTION,0.325,0.0,1476400,325000000,325000000,127810,11.55,0.45,10,0,0,2026-09-08 12:44:47
06913,6913.HK,華南職業教育,0.26,0.0,866430,346840000,346840000,57171,15.16,0.25,10,0,0,2026-09-08 12:44:48
00413,413.HK,南華集團控股,0.031,0.0,3268110,409860367,409860367,13598,240.34,0.8,10,0,0,2026-09-08 12:44:47
00789,789.HK,雅天妮集團,1.55,-1.59,778300,410430119,410430119,55430,14.04,0.19,10,0,0,2026-09-08 12:44:47
00582,582.HK,神話世界,0.134,8.94,578600,489298506,489298506,22509,25.71,0.12,10,0,0,2026-09-08 12:44:47
00496,496.HK,卡森國際,0.36,10.77,559650,661154887,661154887,36638,15.28,0.08,10,0,0,2026-09-08 12:44:47
02540,2540.HK,樂思集團,1.31,0.77,7259400,786000000,786000000,648290,11.2,0.92,10,0,0,2026-09-08 12:44:47
01483,1483.HK,網譽科技,1.2,14.29,630900,983340000,983340000,10000,63.09,0.06,10,0,0,2026-09-08 12:44:47
