code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08291,8291.HK,港娛國際,0.216,5.37,1209410,46080000,46080000,39207,30.85,2.62,10,0,0,2026-09-17 21:54:13,0
08057,8057.HK,麥迪森控股,0.34,-20.0,505680,52965814,52965814,1475,342.88,0.95,10,0,0,2026-09-17 21:54:13,0
03313,3313.HK,雅高控股,0.71,5.97,4492575,100969428,100969428,31879,140.93,4.45,10,0,0,2026-09-17 21:54:13,0
08616,8616.HK,新威工程集團,0.105,19.32,514940,105000000,105000000,50905,10.12,0.49,10,0,0,2026-09-17 21:54:14,0
08483,8483.HK,名仕快相,0.25,21.95,5576312,200000000,200000000,444109,12.56,2.79,10,0,0,2026-09-17 21:54:14,0
08023,8023.HK,鄺文記,0.345,1.47,716970,206118180,206118180,53133,13.49,0.35,10,0,0,2026-09-17 21:54:13,0
00379,379.HK,恆嘉融資租賃,0.124,63.16,2370099,209225542,209225542,82906,28.59,1.13,10,0,0,2026-09-17 21:54:11,0
01750,1750.HK,全達電器集團控股,0.152,33.33,8228080,273600000,273600000,239464,34.36,3.01,10,0,0,2026-09-17 21:54:12,0
01580,1580.HK,大森控股,0.27,-6.9,1009410,295833477,295833477,97215,10.38,0.34,10,0,0,2026-09-17 21:54:12,0
02129,2129.HK,LEGION CONSO,0.29,13.73,3612400,362500000,362500000,211258,17.1,1.0,10,0,0,2026-09-17 21:54:12,0
00361,361.HK,漢成發展控股,0.064,68.42,3634720,374480000,374480000,76890,47.27,0.97,10,0,0,2026-09-17 21:54:11,0
01245,1245.HK,NIRAKU,0.315,21.15,1475700,376692895,376692895,94130,15.68,0.39,10,0,0,2026-09-17 21:54:12,0
00556,556.HK,泛亞環保,0.42,2.44,3009200,422024754,422024754,149068,20.19,0.71,10,0,0,2026-09-17 21:54:12,0
02536,2536.HK,百樂皇宮,0.615,7.89,11124715,496055310,496055310,31290,355.54,2.24,10,0,0,2026-09-17 21:54:13,0
06959,6959.HK,長久股份,3.25,0.0,5856825,657020000,657020000,60754,96.4,0.89,10,0,0,2026-09-17 21:54:13,0
02377,2377.HK,博奇環保,0.785,-0.63,586915,671067203,671067203,42588,13.78,0.09,10,0,0,2026-09-17 21:54:13,0
