code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08057,8057.HK,麥迪森控股,0.24,-25.0,921592,37387633,37387633,56401,16.34,2.46,10,0,0,2026-09-22 21:47:09,0
00261,261.HK,GBA集團,0.248,0.0,4225595,82177696,82177696,152333,27.74,5.14,10,0,0,2026-09-22 21:47:07,0
08221,8221.HK,高裕金融,1.825,16.99,1723668,86870000,86870000,52135,33.06,1.98,10,0,0,2026-09-22 21:47:09,0
01421,1421.HK,恆昌集團國際,0.565,-5.83,1400150,113110288,113110288,63484,22.06,1.24,10,0,0,2026-09-22 21:47:07,0
08007,8007.HK,環球戰略集團,0.6,17.65,11860970,135790457,135790457,403919,29.36,8.73,10,0,0,2026-09-22 21:47:09,0
08368,8368.HK,中國創意控股,0.25,2.04,37871345,173054430,173054430,42709,886.72,21.88,10,0,0,2026-09-22 21:47:09,0
08535,8535.HK,熒德控股,0.172,-20.0,2004380,206400000,206400000,59482,33.7,0.97,10,0,0,2026-09-22 21:47:09,0
01094,1094.HK,承輝國際,0.325,1.56,15966040,231079944,231079944,1580722,10.1,6.91,10,0,0,2026-09-22 21:47:07,0
02215,2215.HK,德信服務集團,0.295,34.09,1023000,270774895,270774895,33340,30.68,0.38,10,0,0,2026-09-22 21:47:08,0
01062,1062.HK,國開國際投資,0.106,7.07,2292770,307634828,307634828,105555,21.72,0.75,10,0,0,2026-09-22 21:47:07,0
00096,96.HK,友成控股,0.515,0.0,1032060,327823044,327823044,93911,10.99,0.31,10,0,0,2026-09-22 21:47:06,0
01389,1389.HK,美捷匯控股,0.61,24.49,580224,338143333,338143333,56568,10.26,0.17,10,0,0,2026-09-22 21:47:07,0
06885,6885.HK,金馬能源,0.65,4.0,581555,348023650,348023650,47997,12.12,0.17,10,0,0,2026-09-22 21:47:09,0
00365,365.HK,芯成科技,0.335,3.08,1743630,487425000,487425000,112711,15.47,0.36,10,0,0,2026-09-22 21:47:07,0
01580,1580.HK,大森控股,0.51,32.47,23418747,558796568,558796568,624048,37.53,4.19,10,0,0,2026-09-22 21:47:07,0
00202,202.HK,潤中國際控股,0.08,56.86,1203810,583549549,583549549,20335,59.2,0.21,10,0,0,2026-09-22 21:47:07,0
