code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08516,8516.HK,中盈國際,0.87,-3.33,1622180,50067108,50067108,111637,14.53,3.24,10,0,0,2026-09-08 12:47:48
00204,204.HK,資本界金控,0.227,2.25,2131000,56535514,56535514,101040,21.09,3.77,10,0,0,2026-09-08 12:47:47
08500,8500.HK,天泓文創,0.146,-9.88,1943440,63072000,63072000,25121,77.36,3.08,10,0,0,2026-09-08 12:47:48
09918,9918.HK,麗年國際,1.05,-6.25,1021620,105000000,105000000,74104,13.79,0.97,10,0,0,2026-09-08 12:47:48
01025,1025.HK,嘉藝控股,0.275,3.77,1563520,123026046,123026046,100677,15.53,1.27,10,0,0,2026-09-08 12:47:47
08646,8646.HK,中國宏光,0.217,0.0,648800,169908830,169908830,64110,10.12,0.38,10,0,0,2026-09-08 12:47:48
00550,550.HK,律齊文化,0.38,7.04,5451440,173102920,173102920,409660,13.31,3.15,10,0,0,2026-09-08 12:47:47
00058,58.HK,新威國際,0.365,25.86,1214980,188164800,188164800,99461,12.22,0.65,10,0,0,2026-09-08 12:47:47
01831,1831.HK,十方控股,0.265,15.22,5518660,284994130,284994130,350321,15.75,1.94,10,0,0,2026-09-08 12:47:47
00343,343.HK,文化傳信,0.17,6.92,1674380,294792884,294792884,77676,21.56,0.57,10,0,0,2026-09-08 12:47:47
08223,8223.HK,紫元元,0.65,18.18,849720,335400000,335400000,78252,10.86,0.25,10,0,0,2026-09-08 12:47:48
01410,1410.HK,安領國際,0.495,-4.81,1152350,499809915,499809915,88940,12.96,0.23,10,0,0,2026-09-08 12:47:47
02405,2405.HK,力盟科技,0.92,8.24,8832900,736000000,736000000,255950,34.51,1.2,10,0,0,2026-09-08 12:47:48
06939,6939.HK,美佳音控股,1.6,18.52,19548900,996000000,996000000,1464296,13.35,1.96,10,0,0,2026-09-08 12:47:48
