code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
01536,1536.HK,煜榮集團,0.226,29.89,835000,103056000,103056000,43230,19.32,0.81,10,0,0,2026-09-08 12:47:08
02211,2211.HK,大健康國際,1.29,-5.84,8594550,142604621,142604621,111109,77.35,6.03,10,0,0,2026-09-08 12:47:08
08379,8379.HK,盈證國際,0.182,18.18,880700,145600000,145600000,74890,11.76,0.6,10,0,0,2026-09-08 12:47:08
00834,834.HK,盛融控股,0.485,22.78,3100100,219679780,219679780,109540,28.3,1.41,10,0,0,2026-09-08 12:47:08
00510,510.HK,時富金融服務集團,0.64,25.49,566530,275951859,275951859,18416,30.76,0.21,10,0,0,2026-09-08 12:47:08
00927,927.HK,富士高實業,0.65,1.56,790520,332153250,332153250,49668,15.92,0.24,10,0,0,2026-09-08 12:47:08
01938,1938.HK,珠江鋼管,0.36,10.77,1070470,364011120,364011120,79872,13.4,0.29,10,0,0,2026-09-08 12:47:08
00607,607.HK,豐盛控股,0.56,250.0,13842120,396907803,396907803,282705,48.96,3.49,10,0,0,2026-09-08 12:47:08
00508,508.HK,鼎億集團投資,0.475,21.79,1551830,411313046,411313046,107791,14.4,0.38,10,0,0,2026-09-08 12:47:08
01831,1831.HK,十方控股,0.445,48.33,11498490,478575049,478575049,964333,11.92,2.4,10,0,0,2026-09-08 12:47:08
00825,825.HK,新世界百貨中國,0.395,29.51,7358000,666027275,666027275,289944,25.38,1.1,10,0,0,2026-09-08 12:47:08
01332,1332.HK,透雲生物,0.25,-12.28,6242490,701488037,701488037,449453,13.89,0.89,10,0,0,2026-09-08 12:47:08
01082,1082.HK,源宇宙教育,1.5,0.0,521920,912070320,912070320,48536,10.75,0.06,10,0,0,2026-09-08 12:47:08
