code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08031,8031.HK,易通訊集團,0.375,-14.77,656170,133029375,133029375,64144,10.23,0.49,10,0,0,2026-09-08 12:49:26
06918,6918.HK,九泰數智,0.155,10.71,8582610,135529954,135529954,251897,34.07,6.33,10,0,0,2026-09-08 12:49:26
01408,1408.HK,濠江機電,0.295,-20.27,735800,147500000,147500000,47629,15.45,0.5,10,0,0,2026-09-08 12:49:25
01752,1752.HK,澳洲成峰高教,0.128,39.13,51778160,285676288,285676288,32973,1570.32,18.12,10,0,0,2026-09-08 12:49:25
01182,1182.HK,勝龍國際,0.97,12.79,1226860,330590130,330590130,89758,13.67,0.37,10,0,0,2026-09-08 12:49:25
00809,809.HK,大成生化科技,0.38,-30.91,1748550,637952038,637952038,165682,10.55,0.27,10,0,0,2026-09-08 12:49:25
02458,2458.HK,望塵科技控股,4.66,1.08,2413910,665029196,665029196,135040,17.88,0.36,10,0,0,2026-09-08 12:49:25
00184,184.HK,激成投資,2.23,-4.7,754300,758646000,758646000,33036,22.83,0.1,10,0,0,2026-09-08 12:49:25
01204,1204.HK,博維智慧,1.7,9.68,4253800,850000000,850000000,131280,32.4,0.5,10,0,0,2026-09-08 12:49:25
