code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
00899,899.HK,中加國信,0.221,10.5,939270,98380141,98380141,66312,14.16,0.95,10,0,0,2026-09-08 12:47:26
01452,1452.HK,迪諾斯環保,0.139,-24.46,702400,107126983,107126983,26990,26.02,0.66,10,0,0,2026-09-08 12:47:26
08143,8143.HK,金威醫療,0.103,-23.13,565340,139334277,139334277,38065,14.85,0.41,10,0,0,2026-09-08 12:47:27
08283,8283.HK,中食民安,0.485,-1.02,885600,167616000,167616000,11554,76.65,0.53,10,0,0,2026-09-08 12:47:27
01955,1955.HK,莊臣控股,0.49,6.52,1829070,245000000,245000000,13599,134.5,0.75,10,0,0,2026-09-08 12:47:27
01636,1636.HK,中國金屬利用,0.59,11.32,1561920,264411878,264411878,59716,26.16,0.59,10,0,0,2026-09-08 12:47:26
01447,1447.HK,新福港,0.69,53.33,1648780,276000000,276000000,4300,383.44,0.6,10,0,0,2026-09-08 12:47:26
00042,42.HK,東北電氣,0.325,12.07,2080400,283845250,83833750,37890,54.91,0.73,10,0,0,2026-09-08 12:47:26
02515,2515.HK,天津建發,0.97,21.25,2505600,301420467,301420467,160490,15.61,0.83,10,0,0,2026-09-08 12:47:27
01226,1226.HK,中國投融資,0.83,3.75,820500,342455178,342455178,65924,12.45,0.24,10,0,0,2026-09-08 12:47:26
00851,851.HK,盛源控股,0.39,-2.5,3811050,343968511,343968511,32265,118.12,1.11,10,0,0,2026-09-08 12:47:26
01543,1543.HK,中盈盛達融資擔保,0.245,-0.41,741080,382394208,135819017,72697,10.19,0.19,10,0,0,2026-09-08 12:47:26
01985,1985.HK,美高域,1.45,0.0,10708700,444242300,444242300,133882,79.99,2.41,10,0,0,2026-09-08 12:47:27
03913,3913.HK,合景悠活,0.226,1.35,1074210,457844115,457844115,84529,12.71,0.23,10,0,0,2026-09-08 12:47:27
00776,776.HK,帝國科技集團,0.77,5.48,4762590,517314914,517314914,458480,10.39,0.92,10,0,0,2026-09-08 12:47:26
01685,1685.HK,博耳電力,0.68,122.95,33273420,526162920,526162920,68209,487.82,6.32,10,0,0,2026-09-08 12:47:26
01823,1823.HK,華昱高速,1.55,42.2,6174080,730217400,730217400,581568,10.62,0.85,10,0,0,2026-09-08 12:47:26
00351,351.HK,亞洲能源物流,0.37,29.82,2482250,738140840,738140840,39148,63.41,0.34,10,0,0,2026-09-08 12:47:26
