code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08612,8612.HK,維亮控股,0.118,-1.67,1816020,48936960,48936960,106726,17.02,3.71,10,0,0,2026-09-08 12:48:22
00060,60.HK,香港食品投資,0.495,-14.66,563850,126548730,126548730,7783,72.45,0.45,10,0,0,2026-09-08 12:48:21
02193,2193.HK,萬景控股,0.34,17.24,743520,142661960,142661960,29444,25.25,0.52,10,0,0,2026-09-08 12:48:21
01389,1389.HK,美捷匯控股,0.37,8.82,1518060,205103333,205103333,30737,49.39,0.74,10,0,0,2026-09-08 12:48:21
01615,1615.HK,奧邦建築,0.365,28.07,680100,219000000,219000000,21678,31.37,0.31,10,0,0,2026-09-08 12:48:21
02376,2376.HK,魯商服務,1.646,-9.36,2867610,219477640,54877640,108210,26.5,1.31,10,0,0,2026-09-08 12:48:21
02125,2125.HK,稻草熊娛樂,0.35,-9.09,714700,247114490,247114490,24520,29.15,0.29,10,0,0,2026-09-08 12:48:21
06610,6610.HK,飛天雲動,1.93,109.78,24476370,250955507,250955507,466148,52.51,9.75,10,0,0,2026-09-08 12:48:22
06913,6913.HK,華南職業教育,0.208,5.05,2077900,277472000,277472000,64983,31.98,0.75,10,0,0,2026-09-08 12:48:22
01348,1348.HK,滉達富控股,0.248,28.5,5209260,365609536,365609536,368061,14.15,1.42,10,0,0,2026-09-08 12:48:21
02297,2297.HK,潤邁德-B,0.27,1.89,1433000,378366876,378366876,111410,12.86,0.38,10,0,0,2026-09-08 12:48:21
00078,78.HK,富豪酒店,0.53,-1.85,1048620,476354636,476354636,61145,17.15,0.22,10,0,0,2026-09-08 12:48:21
00367,367.HK,莊士機構國際,0.295,-3.28,3268740,493403166,493403166,16033,203.88,0.66,10,0,0,2026-09-08 12:48:21
00784,784.HK,愛生命國際,0.91,152.78,246487900,728000000,728000000,1807100,136.4,33.86,4,1,0,2026-09-08 12:48:21
01657,1657.HK,樺欣控股,23.1,3.13,2632800,739200000,739200000,258440,10.19,0.36,10,0,0,2026-09-08 12:48:21
00191,191.HK,麗新國際,0.84,20.0,566140,742034077,742034077,53999,10.48,0.08,10,0,0,2026-09-08 12:48:21
00679,679.HK,亞洲聯網科技,2.18,28.24,16366040,825638812,825638812,983617,16.64,1.98,10,0,0,2026-09-08 12:48:21
02625,2625.HK,江蘇宏信,4.19,0.0,11627400,987329777,987329777,302100,38.49,1.18,10,0,0,2026-09-08 12:48:21
