code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
02358,2358.HK,久融控股,0.011,10.0,1506260,60192000,60192000,114698,13.13,2.5,10,0,0,2026-09-08 12:45:45
08081,8081.HK,白居易控股,0.018,12.5,1056990,92808632,92808632,62469,16.92,1.14,10,0,0,2026-09-08 12:45:45
02203,2203.HK,腦洞科技,0.218,5.31,3405000,174400000,174400000,292920,11.62,1.95,10,0,0,2026-09-08 12:45:44
00379,379.HK,恆嘉融資租賃,0.115,9.52,1467660,194039817,194039817,83166,17.65,0.76,10,0,0,2026-09-08 12:45:44
02326,2326.HK,新源萬恆控股,0.012,20.0,998060,253008866,253008866,80150,12.45,0.39,10,0,0,2026-09-08 12:45:45
01226,1226.HK,中國投融資,0.82,2.5,2559800,338329212,338329212,78644,32.55,0.76,10,0,0,2026-09-08 12:45:44
01351,1351.HK,輝煌明天,0.6,41.18,17408760,360000000,360000000,304240,57.22,4.84,7,1,0,2026-09-08 12:45:44
00723,723.HK,信保環球控股,0.335,34.0,6598560,366436909,366436909,307809,21.44,1.8,10,0,0,2026-09-08 12:45:44
01389,1389.HK,美捷匯控股,0.72,56.52,1371100,399119999,399119999,115258,11.9,0.34,10,0,0,2026-09-08 12:45:44
00630,630.HK,雋泰控股,0.425,32.81,2708350,411209512,411209512,112424,24.09,0.66,10,0,0,2026-09-08 12:45:44
01260,1260.HK,皓天財經集團,0.425,0.0,1028660,489367950,489367950,99027,10.39,0.21,10,0,0,2026-09-08 12:45:44
00936,936.HK,佳兆業資本,0.51,174.19,11468810,540600000,540600000,13063,877.96,2.12,10,0,0,2026-09-08 12:45:44
01719,1719.HK,中國通商集團,0.325,-14.47,1107700,560646674,560646674,3938,281.28,0.2,10,0,0,2026-09-08 12:45:44
01553,1553.HK,邁科管業,1.48,4.96,976800,642024000,642024000,62346,15.67,0.15,10,0,0,2026-09-08 12:45:44
03882,3882.HK,天彩控股,0.98,12.64,7464870,988415706,988415706,324820,22.98,0.76,10,0,0,2026-09-08 12:45:45
