code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08112,8112.HK,基石金融,0.134,8.94,1495060,30742072,30742072,30115,49.65,4.86,10,0,0,2026-09-08 12:44:58
01253,1253.HK,綠博生態,0.16,0.0,1383740,96658637,96658637,94422,14.65,1.43,10,0,0,2026-09-08 12:44:57
08117,8117.HK,中國基礎能源,0.1,61.29,2171630,102398744,102398744,69847,31.09,2.12,10,0,0,2026-09-08 12:44:58
08239,8239.HK,首都金融控股,1.13,24.18,1005050,110478926,110478926,66838,15.04,0.91,10,0,0,2026-09-08 12:44:58
01917,1917.HK,豆盟科技,0.053,-19.7,526500,121900000,121900000,36810,14.3,0.43,10,0,0,2026-09-08 12:44:57
01949,1949.HK,佰達國際控股,0.535,33.75,2360940,123264000,123264000,213682,11.05,1.92,10,0,0,2026-09-08 12:44:57
08283,8283.HK,中食民安,0.442,7.02,1944490,152755200,152755200,129299,15.04,1.27,10,0,0,2026-09-08 12:44:58
00234,234.HK,新世紀集團,0.033,10.0,544820,190752167,190752167,17762,30.67,0.29,10,0,0,2026-09-08 12:44:57
00804,804.HK,鼎石資本,2.876,15.78,7339450,197868837,197868837,82587,88.87,3.71,10,0,0,2026-09-08 12:44:57
00474,474.HK,信銘生命科技,0.025,-28.57,1663060,221453170,221453170,28183,59.01,0.75,10,0,0,2026-09-08 12:44:57
01527,1527.HK,天潔環境,2.19,36.87,6523830,295650000,76650000,62038,105.16,2.21,10,0,0,2026-09-08 12:44:57
01861,1861.HK,保寶龍科技,1.34,-12.42,1954360,313449115,313449115,93741,20.85,0.62,10,0,0,2026-09-08 12:44:57
