code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
01340,1340.HK,惠生國際,0.5,-9.09,1362870,69212850,69212850,81994,16.62,1.97,10,0,0,2026-09-08 12:49:44
08123,8123.HK,華億金控,0.275,19.57,1207979,94778283,94778283,52379,23.06,1.27,10,0,0,2026-09-08 12:49:44
01421,1421.HK,恆昌集團國際,0.51,10.87,6462550,102099552,102099552,326843,19.77,6.33,10,0,0,2026-09-08 12:49:44
00544,544.HK,大同集團,1.18,-21.33,525500,145954737,145954737,9104,57.72,0.36,10,0,0,2026-09-08 12:49:43
00110,110.HK,中國長遠,0.59,28.26,1522380,164347974,164347974,123585,12.32,0.93,10,0,0,2026-09-08 12:49:43
09968,9968.HK,匯景控股,0.034,17.24,530186,178636000,178636000,29151,18.19,0.3,10,0,0,2026-09-08 12:49:45
01529,1529.HK,樂氏國際控股,0.29,-30.95,2693900,193453200,193453200,68060,39.58,1.39,10,0,0,2026-09-08 12:49:44
06033,6033.HK,電訊數碼控股,0.52,-10.34,858590,209951560,209951560,46037,18.65,0.41,10,0,0,2026-09-08 12:49:44
01402,1402.HK,超智能控股,0.305,-1.61,705200,320402500,320402500,53084,13.28,0.22,10,0,0,2026-09-08 12:49:44
02515,2515.HK,天津建發,1.15,-3.36,12283820,357354161,357354161,852350,14.41,3.44,10,0,0,2026-09-08 12:49:44
02863,2863.HK,高豐集團控股,0.88,14.29,152287212,606769680,606769680,1061351,143.48,25.1,10,0,0,2026-09-08 12:49:44
01846,1846.HK,德視佳,2.38,3.03,901760,763280280,763280280,58835,15.33,0.12,10,0,0,2026-09-08 12:49:44
