code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08003,8003.HK,世大控股,0.134,38.14,729940,44524121,44524121,64603,11.3,1.64,10,0,0,2026-09-23 22:01:05,0
00065,65.HK,弘海高新資源,0.355,39.22,3949742,87165605,87165605,240157,16.45,4.53,10,0,0,2026-09-23 22:01:03,0
03435,3435.HK,恆生招商七十美債,72.66,-0.03,2570192,108990000,,25976,98.95,2.36,10,0,0,2026-09-23 22:01:04,0
00197,197.HK,亨泰,0.55,-5.17,6189725,115065749,115065749,341215,18.14,5.38,10,0,0,2026-09-23 22:01:03,0
00094,94.HK,綠心集團,0.043,-17.31,578880,119646923,119646923,11600,49.9,0.48,10,0,0,2026-09-23 22:01:03,0
01546,1546.HK,德萊建業,0.16,28.0,660944,128000000,128000000,35648,18.54,0.52,10,0,0,2026-09-23 22:01:03,0
00115,115.HK,鈞濠集團,7.0,6.06,1297600,144965156,144965156,111070,11.68,0.9,10,0,0,2026-09-23 22:01:03,0
01370,1370.HK,奧威控股,0.141,41.0,2105368,230581515,230581515,111161,18.94,0.91,10,0,0,2026-09-23 22:01:03,0
02370,2370.HK,力高健康生活,1.22,1.67,1952417,244000000,244000000,187389,10.42,0.8,10,0,0,2026-09-23 22:01:04,0
02619,2619.HK,香江電器,1.2,2.56,899740,327455411,81864000,46470,19.36,0.27,10,0,0,2026-09-23 22:01:04,0
01615,1615.HK,奧邦建築,0.56,31.76,1741075,336000000,336000000,169818,10.25,0.52,10,0,0,2026-09-23 22:01:03,0
09928,9928.HK,時代鄰里,0.48,-1.03,1713545,473122919,473122919,128464,13.34,0.36,10,0,0,2026-09-23 22:01:05,0
02415,2415.HK,梅斯健康,0.79,-4.82,1660185,479665050,479665050,14520,114.33,0.35,10,0,0,2026-09-23 22:01:04,0
02457,2457.HK,步陽國際,0.515,19.77,1092200,515000000,515000000,78152,13.98,0.21,10,0,0,2026-09-23 22:01:04,0
08026,8026.HK,朗華國際集團,0.43,28.36,1066645,662193717,662193717,69668,15.31,0.16,10,0,0,2026-09-23 22:01:05,0
