code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08191,8191.HK,鴻偉亞洲,0.095,-20.83,1340862,33633841,33633841,104974,12.77,3.99,10,0,0,2026-09-08 12:49:52
02320,2320.HK,合豐集團,0.086,36.51,1016198,70317384,70317384,43953,23.12,1.45,10,0,0,2026-09-08 12:49:52
01160,1160.HK,金石資本集團,0.4,0.0,8161000,94908500,94908500,314200,25.97,8.6,10,0,0,2026-09-08 12:49:52
01869,1869.HK,貓屎咖啡控股,0.12,26.32,6598550,203076000,203076000,133152,49.56,3.25,10,0,0,2026-09-08 12:49:52
00776,776.HK,帝國科技集團,0.365,-6.41,5706675,245220706,245220706,369719,15.44,2.33,10,0,0,2026-09-08 12:49:51
01962,1962.HK,訓修實業,0.455,0.0,1368820,280341880,280341880,33634,40.7,0.49,10,0,0,2026-09-08 12:49:52
09938,9938.HK,華和控股,0.345,44.35,8984450,345000000,345000000,15282,587.91,2.6,10,0,0,2026-09-08 12:49:53
00875,875.HK,從玉智農,0.495,1.02,2237380,346028053,346028053,170232,13.14,0.65,10,0,0,2026-09-08 12:49:51
01669,1669.HK,環球信貸集團,1.27,0.79,506760,508000000,508000000,49478,10.24,0.1,10,0,0,2026-09-08 12:49:52
00750,750.HK,水發興業能源,0.21,2.44,966174,529427174,529427174,57846,16.7,0.18,10,0,0,2026-09-08 12:49:51
02501,2501.HK,邁越科技,1.26,18.87,3359900,630000000,630000000,173526,19.36,0.53,10,0,0,2026-09-08 12:49:52
02503,2503.HK,中深建業,0.26,12.07,7970524,892541284,892541284,773426,10.31,0.89,10,0,0,2026-09-08 12:49:52
02458,2458.HK,望塵科技控股,6.91,16.92,20425906,986126984,986126984,129684,157.5,2.07,10,0,0,2026-09-08 12:49:52
