code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08076,8076.HK,新利軟件,0.031,63.16,771385,40834440,40834440,25063,30.78,1.89,10,0,0,2026-09-25 22:19:46,0
08200,8200.HK,修身堂,0.74,2.07,513840,58343103,58343103,20892,24.6,0.88,10,0,0,2026-09-25 22:19:46,0
01455,1455.HK,科利實業控股,0.33,24.53,1673650,421925625,421925625,132728,12.61,0.4,10,0,0,2026-09-25 22:19:45,0
06966,6966.HK,中國萬桐園,0.6,0.84,1610150,600000000,600000000,4780,336.85,0.27,10,0,0,2026-09-25 22:19:46,0
01082,1082.HK,源宇宙教育,1.01,-2.42,3668900,614127349,614127349,109708,33.44,0.6,10,0,0,2026-09-25 22:19:45,0
01985,1985.HK,美高域,2.41,0.42,853220,738361340,738361340,37236,22.91,0.12,10,0,0,2026-09-25 22:19:46,0
