code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08489,8489.HK,裕程物流,0.179,-12.68,528400,55055925,55055925,34370,15.37,0.96,10,0,0,2026-09-08 12:49:39
01421,1421.HK,恆昌集團國際,0.395,1.28,891580,79077104,79077104,40918,21.79,1.13,10,0,0,2026-09-08 12:49:39
02223,2223.HK,卡撒天嬌,0.65,-20.73,1135160,167798800,167798800,25118,45.19,0.68,10,0,0,2026-09-08 12:49:39
08329,8329.HK,海王英特龍,0.126,15.6,568830,211428000,53676000,53515,10.63,0.27,10,0,0,2026-09-08 12:49:39
