code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08178,8178.HK,中國信息科技,0.373,33.21,16038150,64195970,64195970,214480,74.78,24.98,10,0,0,2026-09-08 12:47:31
08072,8072.HK,蘭谷股份,0.51,12.09,753040,85858058,85858058,55528,13.56,0.88,10,0,0,2026-09-08 12:47:31
01707,1707.HK,致浩達控股,0.062,44.19,663352,104160000,104160000,31754,20.89,0.64,10,0,0,2026-09-08 12:47:31
02193,2193.HK,萬景控股,0.31,21.57,548760,130074140,130074140,8314,66.0,0.42,10,0,0,2026-09-08 12:47:31
00397,397.HK,嬴集團,0.049,13.95,1093320,167719116,167719116,48008,22.77,0.65,10,0,0,2026-09-08 12:47:30
01750,1750.HK,全達電器集團控股,0.097,12.79,874600,174600000,174600000,83870,10.43,0.5,10,0,0,2026-09-08 12:47:31
01239,1239.HK,TEAMWAY INTL GP,0.45,-16.67,1976000,195308067,195308067,26804,73.72,1.01,10,0,0,2026-09-08 12:47:31
02459,2459.HK,升能集團,1.28,26.73,34708010,248064000,248064000,261297,132.83,13.99,10,0,0,2026-09-08 12:47:31
08229,8229.HK,未來數據集團,0.63,-5.97,541950,349952400,349952400,37640,14.4,0.15,10,0,0,2026-09-08 12:47:31
00827,827.HK,玖源集團,0.062,82.35,13100910,435738641,435738641,24960,524.88,3.01,10,0,0,2026-09-08 12:47:30
02501,2501.HK,邁越科技,1.15,21.05,1404000,575000000,575000000,49460,28.39,0.24,10,0,0,2026-09-08 12:47:31
00508,508.HK,鼎億集團投資,0.67,-1.47,4810400,580167876,580167876,264075,18.22,0.83,10,0,0,2026-09-08 12:47:30
01116,1116.HK,慧源同創科技,0.27,-10.0,825450,582660000,582660000,21394,38.58,0.14,10,0,0,2026-09-08 12:47:30
01900,1900.HK,中國智能交通,0.345,9.52,2573900,593464122,593464122,159187,16.17,0.43,10,0,0,2026-09-08 12:47:31
00040,40.HK,金山科技工業,0.69,-8.0,587230,622716796,622716796,21051,27.9,0.09,10,0,0,2026-09-08 12:47:30
00201,201.HK,華大酒店,0.07,-1.41,582780,626293593,626293593,35302,16.51,0.09,10,0,0,2026-09-08 12:47:30
00648,648.HK,京玖康療,6.2,31.36,14187370,664124985,664124985,721390,19.67,2.14,10,0,0,2026-09-08 12:47:30
00526,526.HK,利時集團控股,0.092,2.22,967720,813649876,813649876,51974,18.62,0.12,10,0,0,2026-09-08 12:47:30
