code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08532,8532.HK,寶發控股,0.072,2.86,635290,6110957,6110957,55111,11.53,10.4,10,0,0,2026-09-08 12:47:10
08007,8007.HK,環球戰略集團,0.295,1.72,2049750,66763642,66763642,83962,24.41,3.07,10,0,0,2026-09-08 12:47:10
00550,550.HK,律齊文化,0.248,106.67,32582950,112972432,112972432,7777,4189.66,28.84,10,0,0,2026-09-08 12:47:10
08489,8489.HK,裕程物流,0.405,12.5,1649300,124567875,124567875,108450,15.21,1.32,10,0,0,2026-09-08 12:47:10
02699,2699.HK,新明中國,4.918,1.7,1233760,129346882,129346882,112099,11.01,0.95,10,0,0,2026-09-08 12:47:10
00784,784.HK,愛生命國際,0.164,25.19,5023200,131200000,131200000,93600,53.67,3.83,10,0,0,2026-09-08 12:47:10
06918,6918.HK,九泰數智,0.158,-7.06,3588940,138153114,138153114,247670,14.49,2.6,10,0,0,2026-09-08 12:47:10
02108,2108.HK,K2 F&B,0.291,-3.32,864180,232800000,232800000,34200,25.27,0.37,10,0,0,2026-09-08 12:47:10
01239,1239.HK,TEAMWAY INTL GP,0.63,6.78,1385250,273431293,273431293,59093,23.44,0.51,10,0,0,2026-09-08 12:47:10
01962,1962.HK,訓修實業,0.473,-5.96,3234560,291432328,291432328,210169,15.39,1.11,10,0,0,2026-09-08 12:47:10
00936,936.HK,佳兆業資本,0.365,-1.35,1901700,386900000,386900000,79330,23.97,0.49,10,0,0,2026-09-08 12:47:10
01098,1098.HK,路勁,0.66,-2.94,1845120,494562134,494562134,44764,41.22,0.37,10,0,0,2026-09-08 12:47:10
01026,1026.HK,環球實業科技,0.101,4.12,501140,556813000,556813000,12828,39.07,0.09,10,0,0,2026-09-08 12:47:10
00334,334.HK,華顯光電,0.375,15.38,2659980,792865473,792865473,192878,13.79,0.34,10,0,0,2026-09-08 12:47:10
