code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
01010,1010.HK,天璽曜11,0.104,4.0,2086700,46206594,46206594,6880,303.3,4.52,10,0,0,2026-09-08 12:46:40
08450,8450.HK,鉅京控股,0.092,-4.17,557220,92000000,92000000,14533,38.34,0.61,10,0,0,2026-09-08 12:46:40
00145,145.HK,信能低碳,0.345,64.29,11243090,126339627,126339627,532650,21.11,8.9,10,0,0,2026-09-08 12:46:39
00164,164.HK,中國寶力科技,0.375,7.14,2035730,130973521,130973521,74287,27.4,1.55,10,0,0,2026-09-08 12:46:39
08481,8481.HK,盛龍錦秀國際,0.375,-8.54,920900,151938750,151938750,14950,61.6,0.61,10,0,0,2026-09-08 12:46:40
02129,2129.HK,LEGION CONSO,0.16,25.0,1943900,200000000,200000000,63010,30.85,0.97,10,0,0,2026-09-08 12:46:40
03313,3313.HK,雅高控股,1.72,30.3,3714210,244601995,244601995,20799,178.58,1.52,10,0,0,2026-09-08 12:46:40
00913,913.HK,港灣數字,0.3,0.0,1371000,266113512,266113512,19684,69.65,0.52,10,0,0,2026-09-08 12:46:40
06877,6877.HK,TE HEALTHCARE,0.145,-12.12,580940,294827050,294827050,42751,13.59,0.2,10,0,0,2026-09-08 12:46:40
01348,1348.HK,滉達富控股,0.201,21.08,4541060,296320632,296320632,195403,23.24,1.53,10,0,0,2026-09-08 12:46:40
00423,423.HK,經濟日報集團,0.75,-6.25,2163500,323700000,323700000,8650,250.12,0.67,10,0,0,2026-09-08 12:46:39
00979,979.HK,綠色能源科技集團,0.29,9.43,927400,393329371,393329371,37422,24.78,0.24,10,0,0,2026-09-08 12:46:40
02177,2177.HK,優趣匯控股,2.93,10.98,1189460,486071471,486071471,86250,13.79,0.24,10,0,0,2026-09-08 12:46:40
00227,227.HK,第一上海,0.27,-1.82,1746050,591483574,591483574,154088,11.33,0.3,10,0,0,2026-09-08 12:46:39
