code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08153,8153.HK,嘉鼎國際集團,0.88,14.29,3216440,36603754,36603754,31888,100.87,8.79,10,0,0,2026-09-08 12:47:32
00559,559.HK,德泰新能源集團,0.104,-2.8,1183848,54411177,54411177,6423,184.31,2.18,10,0,0,2026-09-08 12:47:31
01421,1421.HK,恆昌集團國際,0.38,0.0,3012700,76074176,76074176,51706,58.27,3.96,10,0,0,2026-09-08 12:47:32
08143,8143.HK,金威醫療,0.11,-1.79,2116290,148803597,148803597,136432,15.51,1.42,10,0,0,2026-09-08 12:47:32
01682,1682.HK,杭品生活科技,0.104,-1.89,736160,163472816,163472816,46690,15.77,0.45,10,0,0,2026-09-08 12:47:32
00947,947.HK,摩比發展,0.265,41.71,7354460,211163950,211163950,146893,50.07,3.48,10,0,0,2026-09-08 12:47:31
01094,1094.HK,承輝國際,0.305,10.91,505580,216859640,216859640,23591,21.43,0.23,10,0,0,2026-09-08 12:47:32
00356,356.HK,鼎立資本,1.139,11.67,1480500,229393081,229393081,127653,11.6,0.65,10,0,0,2026-09-08 12:47:31
00223,223.HK,易生活控股,0.165,26.92,2552270,268903264,268903264,56706,45.01,0.95,10,0,0,2026-09-08 12:47:31
03322,3322.HK,永嘉集團,0.237,-0.84,520240,304402800,304402800,41028,12.68,0.17,10,0,0,2026-09-08 12:47:32
00367,367.HK,莊士機構國際,0.305,-4.69,517480,510128697,510128697,26353,19.64,0.1,10,0,0,2026-09-08 12:47:31
01334,1334.HK,瑞昌國際控股,1.12,0.9,6165050,560000000,560000000,212696,28.99,1.1,10,0,0,2026-09-08 12:47:32
01202,1202.HK,四威科技,1.509,21.79,3127800,603600000,241440000,241122,12.97,0.52,10,0,0,2026-09-08 12:47:32
01641,1641.HK,紅星冷鏈,7.749,-7.3,10093600,761439987,190365530,666662,15.14,1.33,10,0,0,2026-09-08 12:47:32
