code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08430,8430.HK,春能控股,0.16,-11.11,923270,26693632,26693632,71701,12.88,3.46,10,0,0,2026-09-08 12:45:18
00193,193.HK,冠中地產,0.227,5.58,702520,52936981,52936981,11097,63.31,1.33,10,0,0,2026-09-08 12:45:18
01340,1340.HK,惠生國際,0.392,22.5,612490,54262874,54262874,56325,10.87,1.13,10,0,0,2026-09-08 12:45:18
02358,2358.HK,久融控股,0.011,0.0,595640,60192000,60192000,50747,11.74,0.99,10,0,0,2026-09-08 12:45:18
08052,8052.HK,陸慶娛樂,0.115,45.57,917820,63049440,63049440,44931,20.43,1.46,10,0,0,2026-09-08 12:45:18
02147,2147.HK,正味集團,0.96,20.0,4090040,64512000,64512000,383465,10.67,6.34,10,0,0,2026-09-08 12:45:18
01889,1889.HK,三愛健康集團,0.51,43.66,5966200,77978334,77978334,25599,233.06,7.65,10,0,0,2026-09-08 12:45:18
01629,1629.HK,冠均國際控股,0.18,21.62,639100,98296657,98296657,31740,20.14,0.65,10,0,0,2026-09-08 12:45:18
08283,8283.HK,中食民安,0.363,-10.37,3267760,125452800,125452800,59290,55.11,2.6,10,0,0,2026-09-08 12:45:18
01241,1241.HK,雙樺控股,0.2,58.73,1505940,130000000,130000000,7780,193.57,1.16,10,0,0,2026-09-08 12:45:18
00637,637.HK,利記,0.229,57.93,4774930,189783750,189783750,2424,1969.86,2.52,10,0,0,2026-09-08 12:45:18
00442,442.HK,域能控股,0.85,16.44,774570,220277500,220277500,4014,192.97,0.35,10,0,0,2026-09-08 12:45:18
01757,1757.HK,環球華商俱樂部,0.196,79.82,5172000,235200000,235200000,72440,71.4,2.2,10,0,0,2026-09-08 12:45:18
06882,6882.HK,東瀛遊,0.525,-10.26,3508460,263786250,263786250,204524,17.15,1.33,10,0,0,2026-09-08 12:45:18
01222,1222.HK,宏安集團,0.023,0.0,1667490,311390030,311390030,62585,26.64,0.54,10,0,0,2026-09-08 12:45:18
00209,209.HK,萬維智能科技,2.163,44.78,7487590,321350810,321350810,1497,5001.73,2.33,10,0,0,2026-09-08 12:45:18
02497,2497.HK,富景中國控股,0.82,1.23,1249500,410000000,410000000,48530,25.75,0.3,10,0,0,2026-09-08 12:45:18
00970,970.HK,新耀萊,0.64,6.67,1415660,432231789,432231789,35408,39.98,0.33,10,0,0,2026-09-08 12:45:18
00166,166.HK,新時代集團控股,0.052,-1.89,553580,454572403,454572403,50208,11.03,0.12,10,0,0,2026-09-08 12:45:18
01098,1098.HK,路勁,0.79,-9.2,1272220,591975887,591975887,96901,13.13,0.21,10,0,0,2026-09-08 12:45:18
01084,1084.HK,綠新生物科技,0.678,0.0,604540,592653360,592653360,58986,10.25,0.1,10,0,0,2026-09-08 12:45:18
00167,167.HK,IDT INT'L,1.28,-1.54,511950,665579752,665579752,32284,15.86,0.08,10,0,0,2026-09-08 12:45:18
02530,2530.HK,紐曼思,0.675,8.0,668640,675000000,675000000,31912,20.95,0.1,10,0,0,2026-09-08 12:45:18
00206,206.HK,華商能源,0.247,-5.0,13913350,801128177,801128177,375547,37.05,1.74,10,0,0,2026-09-08 12:45:18
02481,2481.HK,雙良睿能,2.776,1.46,2562830,837241600,837241600,45316,56.55,0.31,10,0,0,2026-09-08 12:45:18
