code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
01010,1010.HK,天璽曜11,0.047,42.42,609014,20881826,20881826,15901,38.3,2.92,10,0,0,2026-09-09 21:18:24,0
08159,8159.HK,新華聯合投資,0.052,33.33,850190,41849600,41849600,608,1399.49,2.03,10,0,0,2026-09-09 21:18:25,0
08285,8285.HK,森浩集團,0.089,39.06,511965,49840000,49840000,27634,18.53,1.03,10,0,0,2026-09-09 21:18:25,0
01064,1064.HK,中華國際,0.082,70.83,2318456,63026555,63026555,4361,531.6,3.68,10,0,0,2026-09-09 21:18:24,0
01555,1555.HK,MI能源,0.028,7.69,934188,94822714,94822714,32501,28.74,0.99,10,0,0,2026-09-09 21:18:24,0
02728,2728.HK,金泰能源控股,0.027,42.11,1275144,120285564,120285564,76416,16.69,1.06,10,0,0,2026-09-09 21:18:25,0
00969,969.HK,華聯國際,0.145,113.24,8738584,317721100,317721100,17877,488.83,2.75,10,0,0,2026-09-09 21:18:24,0
02381,2381.HK,蜆殼電業,0.395,33.9,15105050,790000000,790000000,1363320,11.08,1.91,10,0,0,2026-09-09 21:18:25,0
03991,3991.HK,長虹佳華,0.605,4.31,7070552,880064460,880064460,314859,22.46,0.8,10,0,0,2026-09-09 21:18:25,0
02503,2503.HK,中深建業,0.26,4.0,6768856,892541284,892541284,177599,38.11,0.76,10,0,0,2026-09-09 21:18:25,0
