scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
2026-09-03,02392,2392.HK,玄武雲,1.045,-0.48,6365928,579827655,579827655,118707,53.63,1.1,10,0,0,2026-09-08 07:26:49
2026-09-03,08037,8037.HK,中國生物科技服務,0.61,0.0,5957650,595196002,595196002,66944,88.99,1.0,10,0,0,2026-09-08 07:26:49
2026-09-03,06898,6898.HK,中國鋁罐,0.685,3.01,1873240,644859685,644859685,111641,16.78,0.29,10,0,0,2026-09-08 07:26:49
2026-09-03,03428,3428.HK,GX國壽港美,11.54,0.52,1035899,942818000,,71832,14.42,0.11,10,0,0,2026-09-08 07:26:49
2026-09-04,01393,1393.HK,恆鼎實業,0.028,27.27,5553779,128947263,128947263,197320,28.15,4.31,10,0,0,2026-09-08 07:26:50
2026-09-04,08483,8483.HK,名仕快相,0.166,-8.29,1032352,132800000,132800000,57727,17.88,0.78,10,0,0,2026-09-08 07:26:51
2026-09-04,01663,1663.HK,漢港控股,0.065,30.0,909850,160160000,160160000,64870,14.03,0.57,10,0,0,2026-09-08 07:26:50
2026-09-04,03997,3997.HK,電訊首科,1.28,-9.22,1534370,164277760,164277760,129610,11.84,0.93,10,0,0,2026-09-08 07:26:50
2026-09-04,00328,328.HK,ALCO HOLDINGS,0.615,3.36,12628011,176131172,176131172,1171719,10.78,7.17,10,0,0,2026-09-08 07:26:50
2026-09-04,02322,2322.HK,新質數字,0.06,17.65,3749944,265236000,265236000,282663,13.27,1.41,10,0,0,2026-09-08 07:26:50
2026-09-04,01094,1094.HK,承輝國際,0.375,-11.76,27613965,266630705,266630705,931140,29.66,10.36,10,0,0,2026-09-08 07:26:50
2026-09-04,03789,3789.HK,禦佳控股,0.228,3.64,894564,273600000,273600000,31594,28.31,0.33,10,0,0,2026-09-08 07:26:50
2026-09-04,08375,8375.HK,數盟資本,0.9,-0.55,555000,311040000,311040000,36580,15.17,0.18,10,0,0,2026-09-08 07:26:51
2026-09-04,01587,1587.HK,欣融國際,0.5,0.0,3408280,340000000,340000000,117786,28.94,1.0,10,0,0,2026-09-08 07:26:50
2026-09-04,00756,756.HK,森美控股,1.08,22.73,595240,367802926,367802926,38050,15.64,0.16,10,0,0,2026-09-08 07:26:50
2026-09-04,02170,2170.HK,貝康醫療-B,1.375,0.0,921342,376098250,113731523,68120,13.53,0.24,10,0,0,2026-09-08 07:26:50
2026-09-04,00529,529.HK,新龍國際,1.7,-6.85,680000,472543332,472543332,18250,37.26,0.14,10,0,0,2026-09-08 07:26:50
2026-09-04,00201,201.HK,華大酒店,0.062,-6.06,1430718,554717182,554717182,52363,27.32,0.26,10,0,0,2026-09-08 07:26:50
2026-09-04,02167,2167.HK,天潤雲,5.12,-0.58,6321754,887707648,887707648,581998,10.86,0.71,10,0,0,2026-09-08 07:26:50
2026-09-07,08385,8385.HK,萬里印刷,0.095,-3.06,1112877,9916860,9916860,55358,20.1,11.22,10,0,0,2026-09-08 07:26:52
2026-09-07,08471,8471.HK,新達控股,0.39,44.44,1561875,28688400,28688400,23865,65.45,5.44,10,0,0,2026-09-08 07:26:52
2026-09-07,01842,1842.HK,植華集團,0.043,16.22,680924,61920000,61920000,9098,74.85,1.1,10,0,0,2026-09-08 07:26:51
2026-09-07,00261,261.HK,GBA集團,0.265,0.0,3545790,87810845,87810845,219666,16.14,4.04,10,0,0,2026-09-08 07:26:51
2026-09-07,01160,1160.HK,金石資本集團,0.4,0.0,640000,94908500,94908500,8000,80.0,0.67,10,0,0,2026-09-08 07:26:51
2026-09-07,06988,6988.HK,樂享集團,0.06,39.53,1100497,142315632,142315632,43975,25.03,0.77,10,0,0,2026-09-08 07:26:52
2026-09-07,02370,2370.HK,力高健康生活,1.225,4.7,968745,245000000,245000000,73800,13.13,0.4,10,0,0,2026-09-08 07:26:51
2026-09-07,02545,2545.HK,中贛通信,0.42,1.2,500470,268800000,268800000,10438,47.95,0.19,10,0,0,2026-09-08 07:26:51
2026-09-07,00979,979.HK,綠色能源科技集團,0.445,39.06,2320787,603557138,603557138,136522,17.0,0.38,10,0,0,2026-09-08 07:26:51
2026-09-07,00360,360.HK,新焦點,0.042,50.0,9812460,723111831,723111831,52708,186.17,1.36,10,0,0,2026-09-08 07:26:51
2026-09-07,00538,538.HK,味千(中國),0.795,1.27,15731792,867773362,867773362,391920,40.14,1.81,10,0,0,2026-09-08 07:26:51
