code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08238,8238.HK,玖方數智,0.115,5.5,4910942,40061952,40061952,80778,60.8,12.26,10,0,0,2026-09-09 00:25:48,0
01842,1842.HK,植華集團,0.056,30.23,1840160,80640000,80640000,76850,23.94,2.28,10,0,0,2026-09-09 00:25:39,0
01443,1443.HK,富臨集團控股,0.065,30.0,2005642,84500000,84500000,12805,156.62,2.37,10,0,0,2026-09-09 00:25:37,0
01869,1869.HK,貓屎咖啡控股,0.064,16.36,1897740,108307200,108307200,188798,10.05,1.75,10,0,0,2026-09-09 00:25:39,0
08481,8481.HK,盛龍錦秀國際,0.27,-32.5,882800,109395900,109395900,24748,35.67,0.81,10,0,0,2026-09-09 00:25:49,0
06080,6080.HK,榮智控股,0.119,-8.46,548286,133321650,133321650,22796,24.05,0.41,10,0,0,2026-09-09 00:25:46,0
03889,3889.HK,大成玉米集團,0.071,69.05,1502958,137127615,137127615,6294,238.78,1.1,10,0,0,2026-09-09 00:25:46,0
00387,387.HK,力豐(集團),0.655,-13.82,1854160,150699821,150699821,5576,332.53,1.23,10,0,0,2026-09-09 00:25:32,0
02312,2312.HK,LONG投資集團,0.4,1.27,692435,182751363,182751363,30656,22.59,0.38,10,0,0,2026-09-09 00:25:42,0
06988,6988.HK,樂享集團,0.082,36.67,8472882,194498030,194498030,138005,61.4,4.36,10,0,0,2026-09-09 00:25:47,0
01001,1001.HK,滬港聯合,0.36,-6.49,573752,229142993,229142993,36458,15.74,0.25,10,0,0,2026-09-09 00:25:35,0
02738,2738.HK,華津國際控股,0.4,830.23,9197230,240000000,240000000,6107,1506.11,3.83,10,0,0,2026-09-09 00:25:44,0
00532,532.HK,王氏港建,0.37,15.62,1094960,270062247,270062247,100072,10.94,0.41,10,0,0,2026-09-09 00:25:32,0
00096,96.HK,友成控股,0.52,0.0,520000,331005792,331005792,1631,318.82,0.16,10,0,0,2026-09-09 00:25:30,0
00690,690.HK,聯康生物科技集團,0.067,13.56,4052440,400072286,400072286,75740,53.5,1.01,10,0,0,2026-09-09 00:25:33,0
08189,8189.HK,泰達生物,0.25,1.21,3626775,533475000,359100000,72630,49.93,0.68,10,0,0,2026-09-09 00:25:48,0
03477,3477.HK,平安東西精選,17.72,-0.28,2978820,655640000,,272774,10.92,0.45,10,0,0,2026-09-09 00:25:45,0
00829,829.HK,神冠控股,0.221,15.71,2295780,713936080,713936080,121313,18.92,0.32,10,0,0,2026-09-09 00:25:34,0
