code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
01259,1259.HK,未來發展控股,0.046,35.29,10317840,101354606,101354606,127799,80.73,10.18,10,0,0,2026-09-08 12:49:02
01068,1068.HK,雨潤食品,0.094,-8.74,933950,171339031,171339031,79544,11.74,0.55,10,0,0,2026-09-08 12:49:01
01679,1679.HK,瑞斯康集團,0.9,73.08,7697960,194232456,194232456,255170,30.17,3.96,10,0,0,2026-09-08 12:49:02
08070,8070.HK,僑洋國際控股,1.1,30.95,807850,220000000,220000000,38850,20.79,0.37,10,0,0,2026-09-08 12:49:02
00681,681.HK,中民控股,0.026,-10.34,1080710,232298591,232298591,88351,12.23,0.47,10,0,0,2026-09-08 12:49:01
02028,2028.HK,映美控股,0.41,116.93,20690360,351916981,351916981,451457,45.83,5.88,10,0,0,2026-09-08 12:49:02
00021,21.HK,大中華控股,0.097,6.59,2848700,385597640,385597640,242541,11.75,0.74,10,0,0,2026-09-08 12:49:01
00689,689.HK,長盈集團(控股),0.244,-2.4,29045080,453286538,453286538,2057920,14.11,6.41,10,0,0,2026-09-08 12:49:01
08521,8521.HK,智雲國際控股,0.78,1.3,883950,498420000,498420000,16130,54.8,0.18,10,0,0,2026-09-08 12:49:02
00994,994.HK,中天宏信,0.39,13.04,5921100,503492340,503492340,368010,16.09,1.18,10,0,0,2026-09-08 12:49:01
01685,1685.HK,博耳電力,0.69,25.45,10189440,533900610,533900610,291059,35.01,1.91,10,0,0,2026-09-08 12:49:02
00532,532.HK,王氏港建,0.75,56.25,11063730,547423473,547423473,749341,14.76,2.02,10,0,0,2026-09-08 12:49:01
02239,2239.HK,國微控股,2.18,43.42,10964690,708351738,708351738,527268,20.8,1.55,10,0,0,2026-09-08 12:49:02
01082,1082.HK,源宇宙教育,1.47,3.52,791480,893828914,893828914,67796,11.67,0.09,10,0,0,2026-09-08 12:49:02
